,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L1428_1,3.2698154e-08,1.3096724e-10,3.5046833e-07,1.86119e-08,1.8813444e-06,5.729671e-07,7.855822e-06,2.2756285e-06,1.2674718e-08,1.2980308e-08,1.0011718e-08,3.977184e-06,5.982438e-06,2.401066e-09,6.8394e-10,2.750312e-09,6.693881e-10,1.8248102e-08,7.377821e-09,2.8026989e-08,3.130117e-08,1.05646905e-08,4.7993817e-06
L1436_1,8.522475e-06,2.0780135e-08,2.0955922e-06,1.8481514e-06,4.4936314e-08,2.3911707e-06,1.1597294e-06,2.354267e-06,4.057656e-07,6.540213e-07,5.445909e-07,0.000106278225,1.0248623e-06,,,,,,,,,,
L1443_1,0.0016679615,3.516674e-06,0.000346303,0.00030504167,6.92904e-06,0.00039558113,0.00019289553,0.00040747225,6.696582e-05,0.00011104345,9.2417e-05,7.2047114e-05,0.000112354755,3.0130148e-05,5.349517e-06,2.1204352e-05,5.197525e-05,0.00020390749,5.8487058e-05,,,,
L1444_1,1.7737475e-06,3.943569e-09,6.851915e-07,6.4591586e-07,7.022754e-08,7.314811e-07,2.3486791e-07,1.3115205e-06,1.4380203e-07,1.1896191e-07,9.719224e-08,6.8495865e-08,2.644374e-07,3.2727257e-08,5.16593e-09,2.3239409e-08,5.106267e-08,2.1143933e-07,6.1729224e-08,3.9464794e-07,3.666355e-07,4.8603397e-08,1.1375232e-07
L1444_2,8.8968955e-07,1.9790605e-09,3.4364348e-07,3.239984e-07,3.5230187e-08,3.668829e-07,1.177832e-07,6.578048e-07,7.2133844e-08,5.9677404e-08,4.8734364e-08,3.4357072e-08,1.3264071e-07,1.641456e-08,2.6047928e-09,1.1670636e-08,2.5625923e-08,1.0605436e-07,3.0966476e-08,1.9793515e-07,1.839071e-07,2.4374458e-08,5.705806e-08
L1449_1,0.0016251057,3.412366e-06,0.0003428161,0.00030227005,7.2568655e-06,0.0003912598,0.00018996,0.0003887862,6.636977e-05,0.000107586384,8.957088e-05,0.00044994056,0.00011000037,1.18762255e-05,5.155802e-06,2.0459294e-05,5.018711e-05,0.00019681454,5.6430697e-05,0.00038279593,0.00032533705,2.810359e-05,0.00012113154
L1450_1,3.4487806e-05,7.334165e-08,8.948147e-06,8.529052e-06,1.0449439e-06,9.4221905e-06,2.7106144e-06,5.5075856e-05,1.8554274e-06,2.255896e-06,3.4415396e-05,7.0105307e-07,3.4323893e-06,2.860045e-05,1.03376806e-07,4.2654574e-07,0.0003329853,3.582798e-06,1.0475051e-06,3.4791883e-06,,,
L1451_1,2.1119777e-06,4.5693014e-09,5.4814154e-07,5.2244286e-07,6.3853804e-08,5.775364e-07,1.6627018e-07,1.8449791e-06,1.1679367e-07,1.4193938e-07,3.0500814e-07,4.4703484e-08,2.1813321e-07,1.7418643e-07,6.490154e-09,2.7590431e-08,1.7150596e-06,2.5736517e-07,7.514609e-08,2.499728e-07,4.2433385e-07,5.4598786e-08,7.3894626e-08
L1453_1,0.0017283708,3.6358833e-06,0.00033175945,0.0002911538,5.185604e-06,0.00038030744,0.0001886338,0.00031730533,6.394088e-05,0.00011500716,5.9321523e-05,7.095933e-05,0.00010675192,5.8576465e-05,5.5134296e-06,2.194941e-05,0.0002809763,0.000112101436,6.0230494e-05,0.0004748255,0.00021155179,3.0174851e-05,0.00012291968
L1453_2,0.0017344803,3.6358833e-06,0.00033083558,0.00029024482,5.0514936e-06,0.00037938356,0.00018844008,,,,,,,,,,,,,,,,
L1455_1,9.722135e-07,2.1609594e-09,1.680819e-07,1.6279228e-07,2.3035682e-08,1.7371349e-07,4.1101885e-08,5.3155236e-07,3.6452548e-08,6.527989e-08,4.954927e-08,8.956704e-09,6.912887e-08,1.899025e-09,2.8958311e-09,1.2732926e-08,7.799827e-09,1.16357114e-07,3.3993274e-08,3.9501174e-08,8.9232344e-08,2.3152097e-08,1.3504177e-08
L1458_1,1.1566677e-05,2.5436748e-08,1.1507655e-06,1.1541997e-06,2.1106098e-07,1.1367956e-06,1.3055978e-07,,,,,,,,,,,,,,,,
L1460_1,0.005752228,2.2873282e-06,0.00035046786,0.0004196614,1.2375414e-05,0.00041214377,1.6957521e-05,0.0027855188,7.541478e-05,0.00055755675,0.0001635626,4.8086047e-05,0.0001751706,3.5017729e-06,2.8088689e-06,0.00011622906,0.0003567934,0.0004344657,2.7924776e-05,0.0005348772,0.00021141768,4.7914684e-05,7.2941184e-05
L1460_2,0.0057497025,2.2947788e-06,0.00035022944,0.00041941553,1.2300909e-05,0.00041193515,1.695007e-05,0.0027844384,7.534027e-05,0.0005574152,0.00016338378,4.811585e-05,0.00017506629,,,,,,,,,,
L1465_1,0.000109741464,3.1739473e-05,0.00018215552,7.739477e-05,0.0001314599,4.6318397e-05,5.0514936e-06,0.00058076903,6.1491504e-05,0.00020454079,0.00016656518,0.00010243617,5.2336603e-05,0.00021238625,1.7246231e-05,,,,,,,,
L1485_1,6.2724575e-07,2.6047928e-09,6.360642e-08,6.129267e-08,1.7753337e-08,5.577749e-08,1.5716068e-09,2.6008638e-07,1.497392e-08,3.745663e-08,4.0905434e-08,7.654307e-09,2.8536306e-08,8.803909e-09,3.5361154e-09,2.2424501e-08,7.853669e-08,5.88916e-08,4.094909e-08,8.400821e-08,2.4912879e-08,2.1464075e-08,1.4624675e-08
L1492_1,8.560455e-07,3.5361154e-09,8.686038e-08,8.367351e-08,2.4272595e-08,7.615017e-08,2.1391315e-09,3.5499397e-07,2.0445441e-08,5.1091774e-08,5.5864803e-08,1.0462827e-08,3.8940925e-08,1.1990778e-08,4.816684e-09,3.0559022e-08,1.0753865e-07,8.039933e-08,5.6024874e-08,1.14610884e-07,3.4007826e-08,2.9220246e-08,1.9936124e-08
L1492_2,4.4496846e-07,1.8189894e-09,4.5147317e-08,4.350295e-08,1.26165105e-08,3.958121e-08,1.1204975e-09,1.8452556e-07,1.0622898e-08,2.6564521e-08,2.9023795e-08,5.4278644e-09,2.0241714e-08,6.2427716e-09,2.5174813e-09,1.5897967e-08,5.5893906e-08,4.17931e-08,2.9118382e-08,5.9582817e-08,1.7687853e-08,1.5177648e-08,1.0353688e-08
L1495_1,1.1486118e-06,4.7439244e-09,1.1654629e-07,1.1228258e-07,3.2567186e-08,1.02169e-07,2.8521754e-09,4.763424e-07,2.7415808e-08,6.8568625e-08,7.494236e-08,1.4028046e-08,5.227048e-08,1.610897e-08,6.490154e-09,4.102185e-08,1.4479156e-07,1.0790245e-07,7.539347e-08,1.5378464e-07,4.5649358e-08,3.9100996e-08,2.674642e-08
L1495_3,3.609457e-07,1.4915713e-09,3.662717e-08,3.5273843e-08,1.0229996e-08,3.21088e-08,9.0221874e-10,1.4968828e-07,8.614734e-09,2.154411e-08,2.355955e-08,4.4092303e-09,1.6429112e-08,5.0567905e-09,2.0154403e-09,1.2878445e-08,4.550384e-08,3.3905962e-08,2.3683242e-08,4.8319635e-08,1.43409125e-08,1.22818165e-08,8.396455e-09
L1496_1,0.0058468655,2.9787421e-05,0.0005321577,0.0004949719,0.00014287233,0.00045746565,1.1593103e-05,0.0021982566,0.00013655424,0.00035072118,0.00033008307,5.453825e-05,0.00022710115,8.2820654e-05,1.513958e-05,0.00022975355,0.0006919578,0.00045853108,0.0003394708,0.0008260608,0.00020129979,0.00018021464,0.0001353249
L1507_1,0.0001660781,1.9017607e-05,7.3821284e-05,6.3207e-05,5.7982747e-05,,,,,,,,,,,,,,,,,,
L1566_3,1.6102102e-05,6.7369547e-06,4.862668e-07,2.4818582e-05,5.2384567e-06,1.8650899e-06,4.9555674e-06,1.4541438e-06,2.3595057e-06,3.551133e-06,1.11642294e-07,4.3773325e-06,1.2259698e-06,7.695751e-06,4.700036e-06,1.501292e-05,1.2332806e-05,2.0269887e-05,1.2521516e-05,3.2981625e-06,4.9790833e-07,1.1981465e-06,1.3620593e-07
L1569_1,0.0001002606,3.1354837e-05,3.7867576e-06,0.00015561003,2.8954819e-05,6.6999346e-06,,,,,,,,,,,,,,,,,
L1576_1,8.2337996e-05,7.945672e-05,3.7971186e-05,0.00014065113,7.723761e-05,2.6600203e-05,1.9343337e-05,4.5884866e-05,5.3925905e-06,2.4496112e-05,1.5121885e-05,2.5562244e-05,2.8354814e-05,8.782535e-05,8.564908e-06,0.00011118199,1.7591752e-05,1.0110205e-05,0.0002008013,3.077858e-05,1.8384308e-06,1.2077158e-05,8.025207e-06
L1578_1,6.707487e-07,2.249144e-07,3.8166763e-07,4.942849e-07,6.769551e-08,1.8931314e-07,2.4162e-07,,,,,,,,,,,,,,,,
L1586_1,0.00012411387,5.212985e-05,3.3749035e-05,0.00014146464,6.786664e-05,2.225698e-05,7.299939e-06,,,,,,,,,,,,,,,,
L1586_2,0.00012286892,5.1674433e-05,3.4094322e-05,0.00014320039,6.7721354e-05,2.2275839e-05,7.211929e-06,3.125402e-05,3.829645e-05,2.940651e-06,1.1738157e-05,4.007481e-06,3.9543957e-06,6.0684746e-05,4.400243e-05,0.00011233543,0.00010687113,0.00021716882,0.00019876286,1.8612947e-05,1.1114869e-05,9.802869e-06,3.6410056e-06
L1586_3,0.00012172852,5.134009e-05,3.3910852e-05,0.00014422392,6.75919e-05,2.2295397e-05,7.130904e-06,,,,,,,,,,,,,,,,
L1586_4,0.00012070616,5.1043928e-05,3.3746473e-05,0.00014516921,6.748433e-05,2.2316119e-05,7.058028e-06,4.7436217e-05,3.8123922e-05,3.0100346e-06,1.17139425e-05,3.988156e-06,3.858935e-06,6.0298014e-05,4.3784734e-05,0.00011166721,0.00010644784,0.00021796813,0.00019808603,1.8629245e-05,,,
L1587_1,6.3246407e-06,1.9087165e-06,3.2345706e-06,5.1133393e-06,4.7145295e-07,1.7103157e-06,2.1429732e-06,6.6219654e-06,8.9022797e-07,2.8504e-06,3.8977887e-06,1.6328995e-06,1.2754463e-06,2.6175694e-06,1.1272205e-06,3.273104e-06,2.9508374e-06,5.0472445e-06,5.7462603e-07,3.0170195e-06,5.6400313e-07,2.7353526e-06,4.211848e-06
L1587_2,4.3676846e-06,1.2967648e-06,2.282759e-06,3.5172707e-06,3.175228e-07,1.1718948e-06,1.4732504e-06,4.5401976e-06,6.1096216e-07,1.9609142e-06,2.6822236e-06,1.1206721e-06,8.754723e-07,1.7966086e-06,7.786293e-07,2.19488e-06,2.0801963e-06,3.4638506e-06,3.9828592e-07,2.0320585e-06,3.8206053e-07,1.8840219e-06,2.8919312e-06
L1587_3,2.3509492e-06,6.6604116e-07,1.3018725e-06,1.8723804e-06,1.5886326e-07,6.1695755e-07,7.8300945e-07,2.3947796e-06,3.2318349e-07,1.0442018e-06,1.4294637e-06,5.9271406e-07,4.6318746e-07,9.5051655e-07,4.1934254e-07,1.0836957e-06,1.1829834e-06,1.8321298e-06,2.1669257e-07,1.0170334e-06,1.9453e-07,1.0066142e-06,1.5316036e-06
L1588_1,0.00010876497,4.7638314e-05,3.2570213e-05,0.00015669316,6.601587e-05,2.2555236e-05,6.229384e-06,4.0448504e-05,3.6307378e-05,3.4619588e-06,1.1228491e-05,3.84124e-06,2.867775e-06,5.626143e-05,4.1285064e-05,0.00010408531,0.00010246388,0.00022722711,0.00019105687,,,,
L1588_2,0.0001054951,4.6712812e-05,3.2064272e-05,0.00016000331,6.5750675e-05,2.2649998e-05,6.004004e-06,3.854977e-05,3.584544e-05,3.6521815e-06,1.1151889e-05,3.8018916e-06,2.5921036e-06,5.521509e-05,4.068087e-05,0.00010225596,0.000101370504,0.00023001223,,,,,
L1588_3,0.000101983314,4.5726774e-05,3.153202e-05,0.00016368716,6.550015e-05,2.2764085e-05,5.7653524e-06,3.6505982e-05,3.536092e-05,3.8486905e-06,1.1064345e-05,3.7658028e-06,2.2966415e-06,5.41145e-05,4.0037092e-05,0.0001003223,0.00010023755,0.00023317151,0.00011757016,4.343409e-05,8.412637e-06,9.13511e-06,3.1790696e-06
L1590_1,7.819181e-06,9.2110713e-07,3.5471458e-06,4.3811422e-05,3.337179e-05,4.8286223e-05,1.5551777e-06,4.4532208e-06,1.8731225e-07,1.7493294e-06,5.662587e-07,4.4275657e-07,3.4525874e-07,3.7046266e-07,9.6453e-07,1.379638e-06,5.7034777e-07,2.1556334e-06,2.2645982e-06,2.0354055e-06,1.284352e-07,3.448804e-07,1.52149e-06
L1596_1,0.00013630977,3.279769e-05,5.250587e-05,0.0004082946,6.2616775e-05,1.50299165e-05,3.537233e-05,2.1626242e-05,1.9507483e-05,3.3800956e-05,2.7596252e-05,3.8116705e-06,5.708309e-06,2.3702392e-05,4.1734893e-06,3.3686636e-05,4.17931e-05,0.00048700604,,,,,
L1598_1,5.6578574e-06,1.790715e-06,2.643268e-06,7.0639217e-06,1.1661905e-07,1.7821585e-06,1.8342107e-06,6.391114e-06,6.5348286e-07,2.430912e-06,3.5848789e-06,1.4852703e-06,1.1920929e-06,2.189321e-06,1.149383e-06,2.6514754e-06,2.1749001e-06,1.019967e-05,2.9035436e-07,2.7146743e-06,5.259644e-07,2.5897898e-06,4.0109153e-06
L1605_1,1.64737e-05,8.305302e-06,2.0053121e-05,,,,,,,,,,,,,,,,,,,,
L1614_1,4.8823276e-06,8.8085653e-07,1.5594997e-06,2.0735315e-06,1.6996637e-08,8.147181e-07,1.2298842e-06,2.9590723e-05,1.868757e-07,8.000934e-07,1.318258e-06,4.098256e-07,4.1470048e-07,6.352202e-07,5.0909875e-07,4.940084e-07,6.8431837e-07,1.3866666e-06,1.9349682e-07,6.923947e-07,1.2165401e-07,8.819334e-07,1.335371e-06
L1614_2,3.4606637e-06,5.703914e-07,1.2611854e-06,1.4295802e-06,9.177893e-08,5.668844e-07,8.715142e-07,,,,,,,,,,,,,,,,
L1614_3,1.8467763e-06,2.4342444e-07,8.963325e-07,6.859409e-07,1.5244586e-07,2.926754e-07,4.4557237e-07,1.422246e-06,9.5424184e-08,5.607144e-07,7.923227e-07,2.3798202e-07,2.4176552e-07,3.511741e-07,3.565874e-07,1.2935197e-07,4.4612534e-07,7.012277e-07,1.6932609e-07,3.148307e-07,5.6053977e-08,5.0870585e-07,8.0507743e-07
L1617_1,1.9712956e-05,2.0241132e-06,1.6980921e-06,1.9709114e-07,3.4150435e-07,1.525681e-06,1.1106604e-06,3.8696802e-05,2.1827873e-07,7.70553e-07,3.206241e-05,3.0198134e-07,8.515781e-07,5.8254227e-07,1.3773679e-06,4.597241e-07,1.0003569e-06,7.079798e-07,1.6472186e-06,1.4858088e-06,3.1420495e-07,1.479697e-06,2.626679e-06
L1618_1,6.352886e-06,4.780304e-07,8.431671e-07,1.9322033e-07,4.231697e-08,4.167814e-07,3.457535e-07,,,,,,,,,,,,,,,,
L1618_2,3.3518445e-06,2.2746099e-07,6.851478e-07,9.294308e-08,8.595816e-08,2.2156746e-07,1.9512663e-07,1.7237762e-06,4.2811735e-08,1.2794044e-07,5.629554e-07,5.066977e-08,1.7313869e-07,1.15745934e-07,2.702145e-07,2.3751636e-07,1.8290302e-07,1.4874968e-07,2.3884058e-07,5.6024874e-09,4.3291948e-08,3.3214747e-07,4.899339e-07
L1620_1,4.789399e-06,5.992333e-07,4.1470048e-07,5.6563294e-08,2.81143e-08,3.73504e-07,2.716115e-07,2.7674396e-06,6.4013875e-08,1.17346644e-07,3.4211116e-05,1.0521762e-07,1.9939034e-07,1.3732642e-07,2.6469206e-07,3.0842784e-07,3.4700497e-07,1.03827915e-07,3.6262645e-07,3.8526196e-07,1.0984513e-07,2.606539e-07,5.5836426e-07
L1620_2,2.595305e-06,4.133326e-07,2.8561772e-07,3.7842256e-08,4.1516614e-08,2.4887413e-07,1.4763646e-07,1.6309277e-06,3.26836e-08,1.9551226e-07,,,,,,,,,,,,,
L1624_1,6.47218e-05,2.2397144e-06,1.07275555e-05,2.8573442e-05,3.9280625e-05,6.3127372e-06,2.2836728e-05,6.50665e-05,1.2554228e-05,1.3818382e-05,7.895823e-05,2.4278415e-06,2.770219e-06,2.9576477e-06,4.653237e-06,5.852082e-06,5.64137e-06,3.3541583e-06,2.7164351e-06,1.981482e-05,3.4823315e-06,1.2204982e-06,1.0400661e-05
L1624_2,6.555766e-05,3.3375109e-06,1.1973432e-05,2.8346549e-05,3.902125e-05,6.9348607e-06,2.2088178e-05,,,,,,,,,,,,,,,,
L1636_2,0.00038967468,5.229842e-06,3.6109705e-06,0.00010576099,0.0005379871,0.00029581646,6.404123e-05,7.5463904e-05,4.3134438e-05,8.581369e-05,0.00011072098,3.0069146e-05,1.4584512e-06,3.6463374e-05,3.71458e-06,3.5055447e-05,2.5041634e-05,2.330332e-05,5.240226e-05,6.115739e-05,2.0887237e-06,1.9649044e-05,4.8336573e-05
L1637_1,0.00011813501,6.645685e-06,1.2784731e-05,5.6714052e-05,0.00022521173,2.1261163e-05,3.3327844e-05,5.288585e-05,2.7435832e-05,5.8542006e-05,6.273342e-05,5.97653e-06,1.9588042e-06,2.6105437e-05,4.704343e-06,2.6007881e-05,1.9704457e-05,1.5162164e-05,3.5227975e-05,4.075002e-05,1.1262018e-06,1.5515136e-05,4.8936345e-05
L1645_1,6.01419e-06,5.2476316e-06,8.554853e-06,1.9133367e-06,3.7034624e-09,1.9603176e-06,4.349349e-06,2.000801e-06,3.0833107e-06,1.0297561e-05,8.14048e-06,3.9345105e-06,2.818444e-06,7.181101e-06,2.5699483e-06,8.524192e-06,7.381088e-06,1.4353136e-06,8.416537e-06,4.7215726e-06,3.123787e-07,6.035305e-06,1.1136333e-05
L1662_1,5.9842423e-05,6.591552e-06,2.4585228e-05,9.939249e-06,2.138957e-05,1.5832775e-05,1.4591613e-05,4.458183e-06,2.409605e-05,3.0437019e-05,1.18123135e-05,1.5920959e-06,6.0506864e-06,3.839261e-05,8.571136e-06,2.356898e-05,2.7619535e-07,4.7967187e-06,6.5961445e-05,3.0484109e-05,7.4505806e-07,8.044532e-06,2.4033594e-05
L1715_1,2.3715955e-05,9.931682e-06,2.6310969e-05,6.736809e-06,4.0662417e-06,1.140419e-05,1.4083314e-05,9.6444855e-06,9.498734e-06,2.148663e-05,9.2565315e-06,9.828655e-07,7.272756e-07,1.1816417e-05,2.8553477e-06,1.520809e-05,2.0683685e-05,6.3637563e-06,1.460925e-05,1.5087222e-05,5.9977174e-07,7.4348936e-06,1.9668689e-05
L1789_1,1.5298283e-06,1.0808872e-06,2.2292588e-06,7.210256e-07,3.24726e-08,8.4562635e-07,1.0115109e-06,4.559115e-07,7.3204137e-07,2.2953463e-06,1.7697384e-06,7.9920574e-07,4.0855957e-07,9.611031e-07,5.4886186e-07,1.509361e-06,1.1409284e-06,4.0704617e-07,1.0811127e-06,1.2460805e-06,1.5978003e-08,1.038381e-06,1.9597865e-06
L1791_1,6.5902714e-07,4.3383625e-07,9.570795e-07,2.3812754e-07,6.8299414e-08,3.3569086e-07,4.0780287e-07,1.9080471e-07,2.9357034e-07,9.187279e-07,7.100534e-07,3.1971285e-07,1.6319973e-07,3.8405415e-07,2.1909364e-07,5.6668796e-07,4.9964e-07,1.6284321e-07,4.367248e-07,4.6167406e-07,6.526534e-09,4.1553722e-07,7.8403536e-07
L1846_1,2.0619482e-05,5.697296e-05,0.00010726764,4.3959823e-05,1.8206658e-05,5.206652e-05,3.596465e-05,3.1935517e-05,2.0432286e-05,9.254669e-05,6.3510146e-05,2.6382506e-05,2.7583446e-05,4.479615e-05,3.30389e-05,2.8198818e-05,6.3467305e-05,2.1877466e-05,2.9698014e-05,7.046992e-05,4.1019404e-05,4.500081e-05,8.4944535e-05
L1846_2,2.2870721e-05,5.309307e-05,0.000102730235,4.2526284e-05,1.6289996e-05,5.0282804e-05,3.4404686e-05,2.8851675e-05,2.032821e-05,8.6913584e-05,5.774689e-05,2.3153378e-05,2.5007641e-05,4.1662715e-05,3.0018855e-05,2.4468638e-05,6.243982e-05,2.0997366e-05,2.7843285e-05,6.761751e-05,4.1223597e-05,4.0916028e-05,7.909676e-05
L1849_1,1.1953889e-06,2.355955e-06,1.7930251e-05,2.2965614e-06,3.5197445e-07,2.2419263e-06,1.9025683e-06,,,,,,,,,,,,,,,,
L1853_1,4.8871734e-06,2.700754e-05,0.00038736366,6.16716e-06,7.96892e-07,6.5951026e-06,5.1670067e-06,2.9722956e-05,2.9840448e-06,9.847718e-06,5.0960225e-06,1.2715464e-06,2.0259176e-06,4.139496e-06,2.831017e-06,5.2403484e-06,9.53424e-06,2.7700735e-06,2.8256327e-06,8.850562e-06,4.079193e-07,3.7822756e-06,8.4400235e-06
L1855_3,2.9223156e-06,2.2312102e-05,0.00014685636,1.86931e-05,3.967958e-06,1.6855076e-05,1.4989171e-05,,,,,,,,,,,,,,,,
L1868_1,0.0001424927,1.30832195e-05,8.956657e-05,3.8277474e-05,1.488917e-05,4.4121058e-05,5.2632648e-05,3.1339354e-05,5.2168383e-05,6.129453e-05,3.5362318e-06,1.6849954e-05,5.88689e-06,2.8499402e-05,1.5102909e-05,3.3675693e-05,0.00010800408,1.9997475e-05,6.094016e-05,5.5345823e-05,5.061738e-06,7.5988937e-06,5.460682e-05
L1868_2,0.00014100282,1.1630938e-05,8.7866094e-05,3.779179e-05,1.5054829e-05,4.3611042e-05,5.1710405e-05,3.1078467e-05,5.1703304e-05,5.8875303e-05,5.5680284e-06,1.792144e-05,6.4627966e-06,2.7404865e-05,1.593132e-05,3.2240292e-05,0.000107264495,1.9578496e-05,6.0085207e-05,5.415699e-05,5.0845556e-06,6.28666e-06,5.2467338e-05
L1875_2,0.00068649696,0.00032923557,5.2985735e-05,0.0005903803,0.00013419986,0.00017102854,0.00013542036,0.00011470588,0.00015410082,0.00023507187,1.4094636e-05,2.9788353e-05,9.60473e-06,0.00011509238,1.974916e-05,0.00012787338,0.00030471385,6.0272403e-05,0.00019450579,0.00017841114,8.391682e-06,4.4054817e-05,0.00019541243
L1882_1,9.695796e-07,3.3499018e-06,6.0582315e-06,2.490895e-06,3.706882e-07,2.2139357e-06,2.0281295e-06,3.8223734e-06,1.0983786e-06,5.4479024e-06,3.8866565e-06,1.6514605e-06,1.671302e-06,2.599052e-06,2.0447987e-06,3.4554832e-06,3.5590274e-06,1.2744058e-06,1.6098784e-06,4.231326e-06,4.4191256e-07,2.8166469e-06,5.172871e-06
L1882_2,1.1021402e-06,1.7314815e-06,3.815163e-06,1.5594705e-06,1.5781552e-07,1.4424513e-06,1.2423334e-06,2.4063993e-06,7.5234857e-07,3.0191877e-06,1.8606152e-06,6.588889e-07,7.8461744e-07,1.3581375e-06,1.0070362e-06,1.8214851e-06,2.456778e-06,7.7151344e-07,8.798597e-07,2.557921e-06,2.592351e-07,1.3813187e-06,2.7721107e-06
L1889_1,4.6935165e-06,3.257033e-05,5.522289e-05,2.4105306e-05,1.1138502e-05,2.757518e-05,1.7966493e-05,1.0841759e-06,7.802155e-06,4.9770926e-05,3.8229977e-05,1.7135637e-05,1.6060309e-05,2.4087029e-05,2.0704814e-05,1.6950071e-07,2.7332455e-05,1.0998454e-05,1.263665e-05,3.403495e-05,4.5068096e-05,2.5503687e-05,4.4423505e-05
L189_1,2.3384637e-06,1.5044498e-06,1.2040837e-06,5.7301804e-07,2.7343776e-07,1.6195554e-07,5.2459654e-08,2.164139e-06,5.3991243e-07,4.208996e-07,7.113413e-07,3.338646e-07,9.180003e-07,1.2485543e-08,1.09874236e-07,3.6387064e-08,4.242611e-08,1.3620593e-08,1.3282988e-07,6.892515e-08,1.7462298e-09,1.4436228e-07,3.1383388e-07
L1893_1,2.3110188e-06,3.4037803e-06,7.958093e-06,3.5118137e-06,1.2948003e-06,4.04421e-06,2.4955662e-06,5.399954e-06,1.2662786e-06,6.069313e-06,3.748166e-06,1.1479424e-06,1.3458484e-06,2.5118352e-06,2.3010944e-06,3.4556724e-06,4.4082117e-06,1.6588019e-06,1.0646763e-06,4.7535286e-06,6.147893e-07,2.7796486e-06,5.4250413e-06
L1893_2,2.4060864e-06,2.1107408e-06,6.1408355e-06,2.6714115e-06,9.634095e-07,3.1720556e-06,1.8739374e-06,4.246511e-06,1.0095973e-06,4.1506573e-06,2.138171e-06,3.5036646e-07,6.3711195e-07,1.5234546e-06,1.4705147e-06,2.15607e-06,3.514171e-06,1.2664386e-06,4.9194205e-07,3.4515251e-06,4.1601015e-07,1.6270496e-06,3.505018e-06
L1893_3,2.4999172e-06,8.3760824e-07,4.3517502e-06,1.8488499e-06,6.323098e-07,2.3134198e-06,1.2620003e-06,3.1110103e-06,7.569033e-07,2.2616296e-06,5.529437e-07,4.350586e-07,6.07688e-08,5.503389e-07,6.5272616e-07,8.765928e-07,2.6340276e-06,8.801726e-07,7.195922e-08,2.1696906e-06,2.2033055e-07,4.921603e-07,1.614666e-06
L1898_1,3.9843144e-08,1.1430893e-06,1.8950814e-06,8.3812483e-07,4.895337e-07,1.0337099e-06,5.747643e-07,1.156528e-06,2.4047768e-07,1.7927305e-06,1.4719844e-06,7.177514e-07,6.4403866e-07,9.132855e-07,7.8247103e-07,1.1357552e-06,9.459036e-07,3.698733e-07,5.271577e-07,1.1426164e-06,1.7484854e-07,1.0830481e-06,1.7819184e-06
L1900_1,5.367474e-08,8.868301e-07,1.5084443e-06,5.873226e-07,4.9317896e-07,8.545976e-07,4.4991612e-07,9.0805406e-07,1.8663559e-07,1.4019606e-06,1.1492666e-06,5.5907003e-07,5.019174e-07,7.1395334e-07,6.131668e-07,8.7298395e-07,7.6037395e-07,2.880479e-07,4.1388557e-07,8.7712397e-07,1.3667159e-07,8.4962085e-07,1.3919489e-06
L1901_1,7.216586e-07,1.820334e-05,2.816756e-05,1.2311037e-05,4.667556e-06,1.2784672e-05,9.449606e-06,1.7991697e-05,4.1284366e-06,2.7793401e-05,2.221798e-05,1.0480406e-05,9.573589e-06,1.387432e-05,1.1687342e-05,1.836702e-05,1.4480494e-05,6.0233288e-06,7.849943e-06,1.9381172e-05,4.717539e-05,1.4621706e-05,2.501806e-05
L1901_2,8.416828e-07,1.6525271e-05,2.580916e-05,1.12475245e-05,4.284666e-06,1.172605e-05,8.642732e-06,1.6498729e-05,3.7945574e-06,2.5303452e-05,2.0129897e-05,9.446347e-06,8.654781e-06,1.2591656e-05,1.0610209e-05,1.667667e-05,1.3318262e-05,5.5138953e-06,7.106748e-06,1.7691054e-05,,,
L1904_1,4.4237822e-07,5.166454e-06,5.960974e-06,2.9858784e-06,1.6022459e-06,3.1109448e-06,2.607674e-06,2.6081325e-06,1.0876392e-06,7.274124e-06,5.841306e-06,2.8926952e-06,2.6099442e-06,3.7840655e-06,3.0301453e-06,4.708869e-06,3.968351e-06,1.6278791e-06,2.3548055e-06,5.1705792e-06,1.6376725e-07,4.231544e-06,7.1733666e-06
L1904_2,7.024937e-07,2.5202098e-06,3.4235054e-06,1.7701241e-06,4.8440415e-07,1.7478742e-06,1.4201214e-06,1.8161518e-06,7.474737e-07,3.7408245e-06,2.5962872e-06,1.0700242e-06,1.108725e-06,1.7191414e-06,1.4059697e-06,2.1741653e-06,2.4699693e-06,8.999341e-07,9.371215e-07,2.9197472e-06,8.116331e-08,1.8723513e-06,3.491492e-06
L1908_2,1.1889642e-07,2.570785e-06,2.931869e-06,1.3686804e-06,7.3041156e-07,1.5077894e-06,1.2598612e-06,1.2255623e-06,4.8697984e-07,3.7229402e-06,3.0889423e-06,1.4933175e-06,1.3219906e-06,1.8716455e-06,1.6327613e-06,2.1722299e-06,1.7971106e-06,7.792987e-07,1.0187869e-06,2.4627152e-06,4.094909e-08,2.1918313e-06,3.6327328e-06
