,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L2478_1,4.5838533e-09,7.90169e-09,3.8417056e-09,2.4447218e-09,2.4447218e-09,9.211362e-09,1.717126e-09,8.905772e-09,5.5733835e-09,3.259629e-09,8.58563e-10,4.598405e-09,7.9890015e-08,6.548362e-09,1.2558303e-08,1.3358658e-08,7.916242e-09,1.20926416e-08,5.8775186e-08,2.4447218e-09,2.3734174e-08,4.5562047e-08,8.469215e-09,1.1306838e-08,2.5698682e-08,7.770723e-09,6.388291e-09,4.7584763e-09,4.8225047e-08,1.7316779e-09,3.2014214e-09,8.381903e-09,1.4304533e-08,9.458745e-09,7.203198e-09,5.3842086e-09,2.764864e-10,1.2514647e-09,2.1362212e-08,1.0229996e-08,8.993084e-09,1.0433723e-08,1.7302227e-08,2.424349e-08,4.2491592e-09,6.708433e-09,1.1059456e-09
L2479_1,3.9872248e-09,6.883056e-09,3.3469405e-09,2.1245796e-09,2.1245796e-09,8.018105e-09,1.4988473e-09,7.741619e-09,4.8457878e-09,2.8376235e-09,7.421477e-10,4.0017767e-09,6.949995e-08,5.7043508e-09,1.08993845e-08,1.1597876e-08,6.883056e-09,1.0521035e-08,5.1120878e-08,2.1245796e-09,2.0649168e-08,3.9624865e-08,7.363269e-09,9.837095e-09,2.2351742e-08,6.7520887e-09,5.5588316e-09,4.132744e-09,4.1967724e-08,1.4988473e-09,2.764864e-09,7.2905095e-09,1.24418875e-08,8.221832e-09,6.2427716e-09,4.6857167e-09,2.3283064e-10,1.0622898e-09,1.8553692e-08,8.905772e-09,7.799827e-09,9.080395e-09,1.504668e-08,2.1085725e-08,3.6961865e-09,5.84987e-09,9.458745e-10
L2479_2,1.8262654e-09,3.1432137e-09,1.5279511e-09,9.749783e-10,9.749783e-10,3.6816346e-09,6.91216e-10,3.5506673e-09,2.2118911e-09,1.3023964e-09,3.4924597e-10,1.8335413e-09,3.1854142e-08,2.6047928e-09,5.013135e-09,5.333277e-09,3.1577656e-09,4.816684e-09,2.3428584e-08,9.822543e-10,9.466021e-09,1.816079e-08,3.3687684e-09,4.5110937e-09,1.0237272e-08,3.092282e-09,2.5393092e-09,1.884473e-09,1.9237632e-08,6.9849193e-10,1.2732926e-09,3.3542165e-09,5.7116267e-09,3.768946e-09,2.8740033e-09,2.1536835e-09,1.2369128e-10,4.8748916e-10,8.541974e-09,4.10364e-09,3.594323e-09,4.154572e-09,6.9048838e-09,9.669748e-09,1.6952981e-09,2.6702764e-09,4.4383341e-10
L2480_1,7.916242e-08,1.3719546e-07,6.6589564e-08,4.2142347e-08,4.2200554e-08,1.5983824e-07,3.061723e-08,9.738142e-08,9.872019e-08,8.440111e-08,1.4202669e-08,7.9278834e-08,1.3848767e-06,1.14087015e-07,2.1798769e-07,2.317829e-07,1.382432e-07,2.1018786e-07,1.0196236e-06,4.284084e-08,4.1065505e-07,7.915078e-07,1.4767284e-07,2.1862797e-07,,,,,,,,,,,,,,,,,,,,,,,
L2480_2,5.128095e-08,8.897041e-08,4.3248292e-08,2.73576e-08,2.7328497e-08,1.03609636e-07,1.9877916e-08,6.315531e-08,6.402843e-08,5.47152e-08,9.225914e-09,5.1339157e-08,8.9785317e-07,7.392373e-08,1.413573e-07,1.5023397e-07,8.9610694e-08,1.3629324e-07,6.610353e-07,2.7765054e-08,2.6621274e-07,5.1315874e-07,9.5693395e-08,1.4173565e-07,8.933712e-07,8.713687e-08,7.22066e-08,5.401671e-08,5.433394e-07,1.9354047e-08,3.5215635e-08,9.490759e-08,1.6152626e-07,1.0654912e-07,8.108327e-08,6.0594175e-08,3.3178367e-09,1.36496965e-08,2.4191104e-07,1.15978764e-07,1.0113581e-07,1.192966e-07,1.9613071e-07,2.7401256e-07,4.8050424e-08,7.651397e-08,1.2194505e-08
L2480_3,2.6208e-08,4.550384e-08,2.2089807e-08,1.3969839e-08,1.3969839e-08,5.2998075e-08,1.0157237e-08,3.2261596e-08,3.2770913e-08,2.7997885e-08,4.7002686e-09,2.629531e-08,4.5918569e-07,3.7791324e-08,7.227936e-08,7.683411e-08,4.5838533e-08,6.967457e-08,3.3808465e-07,1.4202669e-08,1.3619137e-07,2.6242924e-07,4.893809e-08,7.2512194e-08,4.5687193e-07,4.4557964e-08,3.693276e-08,2.7619535e-08,2.7789793e-07,9.895302e-09,1.8015271e-08,4.855974e-08,8.2625775e-08,5.4453267e-08,4.1443855e-08,3.0981028e-08,1.6880222e-09,6.9849193e-09,1.2369128e-07,5.9299055e-08,5.173206e-08,6.101618e-08,1.00335455e-07,1.4019315e-07,2.4549081e-08,3.9115548e-08,6.2864274e-09
L2483_1,1.800072e-08,3.1199306e-08,1.5148544e-08,9.604264e-09,9.604264e-09,3.6379788e-08,6.9412636e-09,2.2118911e-08,2.2468157e-08,1.9208528e-08,3.245077e-09,1.800072e-08,3.1499076e-07,2.5916961e-08,4.960748e-08,5.2707037e-08,3.1417585e-08,4.780304e-08,2.3187022e-07,9.749783e-09,9.343785e-08,1.7997809e-07,3.3556717e-08,4.9709342e-08,1.2868259e-07,3.0515366e-08,2.5276677e-08,1.8902938e-08,1.9017898e-07,6.7666406e-09,1.2325472e-08,3.3222022e-08,5.651964e-08,3.7267455e-08,2.8376235e-08,2.1187589e-08,1.207809e-09,4.7584763e-09,8.466304e-08,4.0599843e-08,3.5390258e-08,4.1734893e-08,6.8641384e-08,9.5926225e-08,1.6807462e-08,2.6775524e-08,4.278263e-09
L2483_2,1.3082172e-08,2.2657332e-08,1.1001248e-08,6.9558155e-09,6.9703674e-09,2.6382622e-08,5.0495146e-09,1.6079866e-08,1.6312697e-08,1.3955287e-08,2.3719622e-09,1.306762e-08,2.2865424e-07,1.8830178e-08,3.5986886e-08,3.8256985e-08,2.2817403e-08,3.4706318e-08,1.6833656e-07,7.057679e-09,6.779737e-08,1.3066165e-07,2.4359906e-08,3.608875e-08,9.3423296e-08,2.2162567e-08,1.8335413e-08,1.3722456e-08,1.3805402e-07,4.9185473e-09,8.949428e-09,2.4112524e-08,4.10364e-08,2.7081114e-08,2.0605512e-08,1.5381374e-08,8.58563e-10,3.448804e-09,6.1438186e-08,2.9467628e-08,2.5698682e-08,3.0297088e-08,4.9825758e-08,6.961636e-08,1.2194505e-08,1.9412255e-08,3.1141099e-09
L2487_1,1.4679972e-07,2.727611e-07,1.3195677e-07,8.2480256e-08,6.670598e-08,3.0657975e-07,6.699702e-08,1.3125828e-07,1.9167783e-07,1.9511208e-07,2.9278453e-08,1.5110709e-07,2.7382048e-06,2.317829e-07,4.4115586e-07,4.6181958e-07,2.8434442e-07,4.2811735e-07,2.0079315e-06,8.9930836e-08,7.9668825e-07,1.5745754e-06,2.932502e-07,1.9177096e-05,3.5779667e-06,2.5972258e-07,2.0785956e-07,1.6065314e-07,1.6108388e-06,5.977927e-08,1.0622898e-07,2.803281e-07,4.7893263e-07,3.1571835e-07,2.3911707e-07,1.7735874e-07,1.2223609e-08,2.910383e-08,7.1985414e-07,3.487803e-07,3.0209776e-07,3.663008e-07,5.905167e-07,8.1706094e-07,1.4528632e-07,2.3184111e-07,3.480818e-08
L2489_1,4.0381565e-09,6.9994712e-09,3.3978722e-09,2.1464075e-09,2.1536835e-09,8.141797e-09,1.5570549e-09,4.969479e-09,5.0422386e-09,4.307367e-09,7.203198e-10,4.0381565e-09,7.0635e-08,5.820766e-09,1.1110387e-08,1.1823431e-08,7.050403e-09,1.071021e-08,5.2008545e-08,2.1827873e-09,2.0940206e-08,4.0367013e-08,7.52334e-09,1.1154043e-08,2.7510396e-08,6.8394e-09,5.660695e-09,4.2346073e-09,4.263711e-08,1.5133992e-09,2.764864e-09,7.450581e-09,1.2681994e-08,8.374627e-09,6.366463e-09,4.7512003e-09,2.6193447e-10,1.0695658e-09,1.8975697e-08,9.102223e-09,7.93807e-09,9.3496055e-09,1.538865e-08,2.150773e-08,3.768946e-09,6.002665e-09,9.604264e-10
L2495_1,1.6138074e-08,2.7983333e-08,1.3591489e-08,8.614734e-09,8.600182e-09,3.2610842e-08,6.2427716e-09,1.8699211e-08,2.0081643e-08,1.778244e-08,2.8958311e-09,1.6152626e-08,2.8264185e-07,2.3268512e-08,4.4485205e-08,4.7279173e-08,2.8201612e-08,4.2899046e-08,2.0809239e-07,8.745701e-09,8.380448e-08,1.6154081e-07,3.0137016e-08,3.8096914e-08,7.2133844e-08,2.73576e-08,2.2671884e-08,1.6982085e-08,1.705921e-07,6.0535967e-09,1.1030352e-08,2.9802322e-08,5.0727976e-08,3.34403e-08,2.54513e-08,1.9019353e-08,1.0477379e-09,4.292815e-09,7.59901e-08,3.6437996e-08,3.175228e-08,3.7485734e-08,6.161281e-08,8.607458e-08,1.5061232e-08,2.4025212e-08,3.8417056e-09
L2498_1,4.7220965e-09,8.200004e-09,3.979949e-09,2.5174813e-09,2.5174813e-09,9.553332e-09,1.8335413e-09,5.2823452e-09,5.871698e-09,5.304173e-09,8.440111e-10,4.7366484e-09,8.2785846e-08,6.8175723e-09,1.3038516e-08,1.3860699e-08,8.272764e-09,1.2572855e-08,6.095797e-08,2.561137e-09,2.4541805e-08,4.733738e-08,8.8402885e-09,1.0244548e-08,1.7957063e-08,8.003553e-09,6.6429493e-09,4.976755e-09,4.9971277e-08,1.7753337e-09,3.2305252e-09,8.731149e-09,1.48575054e-08,9.793439e-09,7.450581e-09,5.5661076e-09,3.1286618e-10,1.2514647e-09,2.2278982e-08,1.0688382e-08,9.298674e-09,1.0993972e-08,1.8058927e-08,2.5218469e-08,4.4237822e-09,7.050403e-09,1.1204975e-09
L2502_1,1.31403795e-08,2.2831955e-08,1.1088559e-08,7.014023e-09,6.9994712e-09,2.6600901e-08,5.122274e-09,1.4595571e-08,1.63418e-08,1.481385e-08,2.3574103e-09,1.3169483e-08,2.3058965e-07,1.9004801e-08,3.6292477e-08,3.859168e-08,2.3050234e-08,3.5011908e-08,1.698063e-07,7.1449904e-09,6.8350346e-08,1.3184035e-07,2.4607289e-08,2.7910573e-08,4.793401e-08,2.2293534e-08,1.8510036e-08,1.3867975e-08,1.3918907e-07,4.947651e-09,8.978532e-09,2.4330802e-08,4.14002e-08,2.7299393e-08,2.0765583e-08,1.5512342e-08,8.58563e-10,3.4924597e-09,6.204937e-08,2.9744115e-08,2.5902409e-08,3.0660885e-08,5.0320523e-08,7.02712e-08,1.2296368e-08,1.9630534e-08,3.1432137e-09
L2504_1,9.313226e-09,1.618173e-08,7.858034e-09,4.947651e-09,5.005859e-09,1.8801074e-08,3.4924597e-09,1.8102583e-08,1.1350494e-08,6.6356733e-09,1.8044375e-09,9.313226e-09,1.6298145e-07,1.3387762e-08,2.5553163e-08,2.7182978e-08,1.618173e-08,2.4738256e-08,1.1984957e-07,4.947651e-09,4.831236e-08,9.2957634e-08,1.7229468e-08,2.3050234e-08,5.250331e-08,1.5832484e-08,1.2980308e-08,9.662472e-09,9.837095e-08,3.4924597e-09,6.4610504e-09,1.717126e-08,2.9278453e-08,1.9324943e-08,1.46683306e-08,1.094304e-08,6.4028427e-10,2.5029294e-09,4.353933e-08,2.089655e-08,1.8277206e-08,2.1362212e-08,3.5390258e-08,4.953472e-08,8.614734e-09,1.36788e-08,2.2118911e-09
L251_1,3.7252903e-08,8.782081e-09,4.8494257e-08,3.3447577e-08,6.9194357e-09,7.057679e-09,1.4260877e-09,1.7433194e-08,2.644083e-08,2.4956535e-08,1.717126e-09,3.6023266e-08,5.7982106e-08,1.4690158e-08,3.2501703e-08,9.415089e-09,1.808803e-08,2.6069756e-08,1.412991e-08,2.7095666e-08,3.9857696e-08,6.820483e-08,2.168963e-08,8.411007e-09,1.6458216e-08,3.312016e-08,4.292815e-08,2.8478098e-08,9.4485586e-08,1.1924567e-07,2.2562745e-08,2.7692295e-08,1.00480975e-08,1.5548721e-08,1.6443664e-07,1.3508543e-07,7.858034e-10,3.4066034e-08,5.4416887e-08,2.195884e-08,1.6669219e-08,2.0947482e-08,4.1480234e-08,5.156471e-08,1.2449163e-07,1.1619704e-08,1.0542863e-08
L2551_1,1.4231773e-07,2.4202745e-06,2.1116575e-06,6.4610504e-07,1.7248094e-06,3.1711534e-07,9.435462e-07,2.784538e-06,1.3369718e-06,1.7440761e-06,1.329463e-06,9.75444e-07,2.0500738e-07,1.7354614e-06,3.600726e-07,6.9623347e-06,7.3977862e-06,7.91857e-07,1.871842e-06,1.7165439e-07,6.110582e-06,1.3426761e-06,9.089126e-07,9.9884346e-08,8.7707303e-07,5.720067e-07,2.347515e-07,1.4734105e-06,1.494016e-06,2.4834299e-06,3.837631e-07,6.139744e-07,1.5551923e-06,5.6944555e-07,1.4726538e-07,2.1634623e-06,2.4084002e-06,4.6676723e-07,1.0770163e-06,2.2682943e-06,6.0372986e-07,3.351597e-07,7.796916e-07,1.6206177e-06,7.450581e-09,1.1966331e-06,4.8137736e-08
L2551_2,1.2491364e-07,2.3051398e-06,2.0295265e-06,6.624614e-07,1.6585109e-06,3.1670788e-07,8.0722384e-07,2.5341287e-06,1.2055389e-06,1.6731792e-06,1.1064694e-06,8.767238e-07,2.6542693e-08,1.6097329e-06,3.2800017e-07,6.4198975e-06,6.7012734e-06,6.6595385e-07,1.7916318e-06,1.01921614e-07,6.045506e-06,1.2869132e-06,7.771305e-07,8.411007e-08,8.555944e-07,4.064641e-07,3.4063123e-07,1.4001853e-06,1.3018143e-06,2.2578752e-06,4.3853652e-07,4.476169e-07,1.2785313e-06,4.050671e-07,2.2765016e-07,1.8641003e-06,2.179062e-06,4.86325e-07,1.1087977e-06,2.0886073e-06,5.805632e-07,2.9086368e-07,7.20378e-07,1.4815014e-06,8.96398e-09,1.092616e-06,4.1443855e-08
L2551_3,1.1041993e-07,2.207642e-06,1.9600266e-06,6.76373e-07,1.6023987e-06,3.1635864e-07,6.9191447e-07,2.3224275e-06,1.0943622e-06,1.6130507e-06,9.178184e-07,7.933122e-07,1.2433156e-07,1.5033875e-06,3.008172e-07,5.9609883e-06,6.111921e-06,5.593756e-07,1.7239363e-06,4.2899046e-08,5.9904414e-06,1.2396486e-06,6.6583743e-07,7.072231e-08,8.374918e-07,2.6630005e-07,4.300964e-07,1.3380777e-06,1.1391821e-06,2.0670122e-06,4.84928e-07,3.0681258e-07,1.0444201e-06,2.658926e-07,2.9581133e-07,1.6106642e-06,1.9849394e-06,5.027978e-07,1.1356897e-06,1.936627e-06,5.609472e-07,2.5337795e-07,6.70203e-07,1.3638055e-06,1.0186341e-08,1.0046642e-06,3.5914127e-08
L2559_1,7.048948e-08,1.1083903e-06,9.737269e-07,2.9368675e-07,7.91013e-07,1.4025136e-07,5.047186e-07,1.3904355e-06,6.634509e-07,8.0282916e-07,7.112976e-07,4.8070797e-07,1.8064748e-07,8.077768e-07,2.1344749e-07,3.3674587e-06,3.614463e-06,4.1455496e-07,7.7849836e-07,1.11351255e-07,2.3444009e-06,6.4988853e-07,4.6083005e-07,5.113543e-08,4.0317536e-07,3.2485696e-07,7.2439434e-08,7.0306123e-07,7.576309e-07,1.209235e-06,1.5451224e-07,3.4307595e-07,8.121133e-07,3.2316893e-07,3.5506673e-08,1.0975637e-06,1.179782e-06,2.1324377e-07,4.8073707e-07,1.0994554e-06,2.8061913e-07,1.656008e-07,3.7852442e-07,7.8813173e-07,2.5320332e-09,5.848415e-07,2.4941983e-08
L256_1,1.9517029e-07,4.5984052e-08,2.5407644e-07,1.7514685e-07,3.6205165e-08,3.6903657e-08,7.450581e-09,9.126961e-08,1.3853423e-07,1.307344e-07,8.96398e-09,1.8888386e-07,3.039022e-07,7.706694e-08,1.7031562e-07,4.9418304e-08,9.482028e-08,1.3661338e-07,7.398194e-08,1.4191028e-07,2.0884909e-07,3.5739504e-07,1.1367956e-07,4.4179615e-08,8.6205546e-08,1.7357524e-07,2.249144e-07,1.4918623e-07,4.9511436e-07,6.2491745e-07,1.1821976e-07,1.451117e-07,5.2677933e-08,8.143252e-08,8.617062e-07,7.079798e-07,4.0163286e-09,1.7846469e-07,2.8515933e-07,1.1501834e-07,8.73697e-08,1.0966323e-07,2.172892e-07,2.7031638e-07,6.5244967e-07,6.088521e-08,5.523907e-08
L2565_1,1.5058322e-07,2.1590386e-06,1.8284773e-06,4.5710476e-07,1.4643301e-06,2.157758e-07,8.569332e-07,2.3308676e-06,1.1501834e-06,1.4820253e-06,1.1383672e-06,8.2637416e-07,4.536705e-07,1.4246907e-06,1.4976831e-07,5.780894e-06,6.4908527e-06,6.82252e-07,2.7553178e-06,2.3067696e-07,7.973984e-06,7.948256e-07,8.728821e-07,9.9418685e-08,6.8050576e-07,6.593764e-07,2.1187589e-08,1.1270749e-06,1.4462858e-06,2.1252781e-06,1.6915146e-07,7.12811e-07,1.5632249e-06,6.722985e-07,4.726462e-08,2.006418e-06,2.0604348e-06,3.3248216e-07,8.541392e-07,1.9270228e-06,5.0093513e-07,3.3638207e-07,5.752663e-07,1.2713135e-06,7.508788e-09,9.638607e-07,4.6857167e-08
L2577_2,2.8405339e-08,8.4326894e-07,7.589115e-07,3.0966476e-07,6.2900654e-07,1.3424142e-07,1.7868297e-07,7.8835e-07,3.6650454e-07,6.296614e-07,2.2207678e-07,2.6231282e-07,1.9595609e-07,5.4528937e-07,1.314911e-07,2.1117303e-06,2.0420994e-06,1.4985562e-07,3.7485734e-07,3.6525307e-08,1.5571277e-06,5.4447446e-07,1.7102866e-07,1.6676495e-08,3.3908873e-07,2.6251655e-08,2.7779606e-07,5.17859e-07,3.176974e-07,6.945629e-07,2.5850022e-07,1.14087015e-08,2.09664e-07,2.5873305e-08,1.9936124e-07,4.4031185e-07,6.606715e-07,2.343586e-07,4.9735536e-07,6.772316e-07,2.1430606e-07,6.526534e-08,2.506422e-07,4.841131e-07,6.7666406e-09,3.5268022e-07,9.57516e-09
L2584_1,6.9790985e-08,9.872601e-07,8.6578075e-07,2.5439658e-07,7.668277e-07,1.2444798e-07,4.61092e-07,1.2750679e-06,6.04603e-07,7.057679e-07,6.9924863e-07,4.4715125e-07,1.2482633e-07,7.849594e-07,1.276494e-07,3.0741794e-06,3.432564e-06,3.6941492e-07,1.1910452e-06,7.36909e-08,3.9611186e-06,5.217735e-07,4.5041088e-07,4.8952643e-08,3.7951395e-07,3.1426316e-07,4.71191e-08,6.5384666e-07,7.09726e-07,1.1499797e-06,1.276494e-07,3.3492688e-07,7.7902223e-07,3.1013042e-07,2.0605512e-08,1.0410731e-06,1.1133961e-06,1.7968705e-07,4.7538197e-07,1.0481162e-06,2.7485657e-07,1.7514685e-07,3.3402466e-07,7.2387047e-07,2.6193447e-10,5.3146505e-07,2.1536835e-08
L2592_1,1.8386345e-08,1.9266008e-07,1.8809078e-07,8.158531e-08,1.9336585e-07,3.4138793e-08,1.0376971e-07,3.0903902e-07,1.3127283e-07,1.3910176e-07,1.6864215e-07,9.4216375e-08,5.2532414e-09,1.6370177e-07,2.8674549e-08,6.747432e-07,7.780618e-07,6.084883e-08,4.5772322e-07,1.1503289e-08,1.4953112e-06,1.0606891e-07,8.799543e-08,1.02591e-08,9.894575e-08,4.6857167e-08,4.7388312e-08,1.731969e-07,1.6164267e-07,2.6552152e-07,6.002665e-08,4.82396e-08,1.5160913e-07,4.2833562e-08,3.130117e-08,2.0535663e-07,2.5087502e-07,5.2335963e-08,1.4388934e-07,2.4601468e-07,7.534254e-08,3.8766302e-08,7.7496225e-08,1.6533158e-07,9.094947e-10,1.2632518e-07,5.529728e-09
L2597_1,1.5337719e-08,5.3473923e-07,3.9891165e-07,1.0349322e-07,2.9733928e-07,5.0815288e-08,2.2126187e-07,6.049231e-07,3.381574e-07,3.6183337e-07,3.862515e-07,2.4895417e-07,2.0819425e-07,4.0522718e-07,2.010056e-07,1.5956757e-06,1.6715494e-06,2.850138e-07,1.0481745e-06,1.230801e-07,3.561261e-06,5.1691313e-07,2.1782762e-07,2.3923349e-08,1.4324905e-07,2.0387233e-07,3.6423444e-08,2.7703936e-07,3.3224933e-07,5.304755e-07,3.2800017e-08,2.0556035e-07,4.181784e-07,2.0761217e-07,2.0576408e-08,5.6381396e-07,5.4674456e-07,7.3734554e-08,4.284084e-08,4.4917397e-07,7.357448e-08,4.7075446e-08,2.2465247e-07,4.1961903e-07,8.134521e-09,3.02447e-07,1.1728844e-08
L2603_1,4.0250598e-08,3.9002043e-07,3.2126263e-07,4.998583e-08,2.5703048e-07,2.9380317e-08,3.103196e-07,6.6477514e-07,3.2914977e-07,2.6324415e-07,4.779722e-07,2.4208566e-07,3.1164382e-07,3.3190008e-07,1.212029e-07,1.4823308e-06,1.7391867e-06,2.6974885e-07,1.6749254e-07,1.3492536e-07,1.0470103e-07,2.3809844e-07,2.7855276e-07,3.182504e-08,1.10594556e-07,3.0570664e-07,1.242588e-07,2.5982445e-07,4.3970067e-07,5.713082e-07,3.6525307e-08,3.0671072e-07,5.618931e-07,3.0225783e-07,1.063454e-07,6.543996e-07,5.7146826e-07,1.6894774e-08,4.4281478e-08,4.828471e-07,8.683128e-08,8.929055e-08,1.7452112e-07,3.7494465e-07,3.0559022e-09,2.8013892e-07,1.46683306e-08
L2608_1,1.1324228e-06,5.07549e-07,3.5769335e-07,2.4500332e-07,1.6178674e-06,4.21016e-07,1.167442e-06,1.496388e-06,1.171793e-07,5.495167e-07,1.016786e-06,2.561137e-08,4.0883606e-07,2.3996836e-07,1.7523416e-06,6.764458e-07,4.031186e-06,9.2150003e-07,7.592149e-06,7.8434823e-07,1.8619612e-06,3.6085548e-06,1.1943775e-06,1.9354047e-08,5.6717545e-07,1.4036632e-06,7.337512e-07,3.350142e-07,2.1268934e-06,1.8594874e-06,3.3363176e-07,1.244669e-06,2.3767643e-06,1.239343e-06,9.062351e-07,1.8652645e-06,1.4451798e-06,3.5291305e-07,1.1250668e-06,1.4981342e-06,8.185016e-07,4.240719e-07,4.171743e-07,1.4684338e-07,2.1145388e-07,2.2308086e-07,1.709559e-07
L2610_1,4.069734e-07,4.1318708e-07,7.403287e-07,9.674113e-08,9.557698e-07,7.968629e-08,6.5485074e-07,1.1828233e-06,2.7647184e-07,2.5742338e-07,4.4271292e-07,1.4358375e-07,2.226443e-07,2.5240297e-07,1.216773e-06,1.3918907e-06,3.1163363e-06,2.898014e-07,3.3150718e-06,6.291957e-07,1.0032236e-06,2.3378088e-06,8.2504994e-07,7.4884156e-08,2.2089807e-07,8.558709e-07,3.703608e-07,3.7517748e-07,1.5341939e-06,1.2815726e-06,2.1974847e-07,7.99424e-07,1.5607511e-06,7.454655e-07,5.3191616e-07,1.1752127e-06,9.46442e-07,1.6488775e-07,1.1739321e-06,1.2393721e-06,6.464106e-07,3.7258724e-07,3.8431608e-07,2.4111068e-07,1.0001531e-07,7.118797e-08,8.357165e-08
L2612_1,3.4310506e-07,8.061761e-09,3.1375384e-07,1.701701e-07,5.8076694e-07,1.2200326e-07,5.034235e-07,7.3271804e-07,9.9491444e-08,4.9520168e-08,3.2578828e-07,2.561137e-08,2.575398e-07,1.41590135e-08,1.0310323e-06,4.430476e-07,2.115965e-06,3.015739e-07,6.272021e-07,1.090084e-07,9.3063863e-07,8.509378e-07,6.523187e-07,5.311449e-08,1.8949504e-07,7.614726e-07,4.228641e-07,1.5230034e-07,1.2789533e-06,9.1172114e-07,2.6969064e-07,7.0435635e-07,1.3158278e-06,6.524642e-07,5.3194526e-07,8.571369e-07,6.023329e-07,2.3818575e-07,9.2046685e-07,8.5103966e-07,5.3527765e-07,3.2772368e-07,4.6634523e-07,4.075555e-07,9.4412826e-08,8.32224e-08,7.422932e-08
L2616_1,1.1926968e-06,7.073686e-07,3.3950855e-06,1.3632962e-07,3.173278e-06,9.134965e-08,3.621979e-06,4.442809e-06,1.369488e-06,3.5375706e-07,2.7199421e-06,1.2445962e-06,5.030488e-06,1.7825369e-07,1.1582742e-06,8.745737e-06,1.361702e-05,1.21833e-06,3.2261378e-06,1.5526894e-06,5.506874e-06,4.913789e-06,2.5182962e-06,1.9083382e-07,3.2695243e-07,2.8023496e-06,1.2846867e-06,1.6674312e-06,1.6253034e-06,4.4324406e-06,1.069071e-06,2.5810587e-06,5.0266244e-06,3.3488905e-06,1.6163831e-06,4.5801717e-06,3.8296857e-06,8.768111e-07,1.9151776e-06,3.4141121e-06,1.4538382e-06,9.673677e-07,7.353083e-08,1.4077523e-07,2.8703653e-07,5.791517e-07,1.9877916e-07
L2616_3,2.4546462e-06,2.3491302e-06,3.9526494e-06,8.245988e-07,4.6634377e-06,8.9226523e-07,4.3124455e-06,3.1160744e-06,8.191855e-07,1.9045256e-06,7.382332e-07,1.6996637e-07,6.6904468e-06,2.912304e-06,4.8332877e-06,1.2552482e-06,9.728523e-06,4.1854946e-06,8.001429e-06,1.9989966e-07,1.0744712e-05,4.7977665e-06,3.2418175e-06,2.967863e-07,8.545321e-07,3.5663688e-06,2.0054576e-06,1.0007352e-07,3.426234e-06,3.6459824e-06,2.5343325e-06,3.1626987e-06,6.174261e-06,4.8099027e-06,3.1041272e-06,3.6032288e-06,2.213972e-06,1.8330902e-06,5.5460696e-06,3.2681564e-06,2.9603543e-06,1.9559084e-06,3.1805248e-06,5.1930983e-06,8.200732e-07,2.2185268e-06,3.7015707e-07
L2620_1,1.1939846e-07,1.411463e-06,1.2059536e-06,5.1167444e-07,9.853102e-07,6.8740337e-07,3.0397496e-07,1.3419922e-06,6.5560744e-07,1.1250231e-06,4.4736225e-07,3.6335405e-07,4.0217637e-06,8.9664536e-07,1.7441926e-07,8.3346094e-08,7.169874e-07,1.1389566e-06,6.4873893e-07,4.4151966e-07,2.2909662e-06,2.1494343e-06,3.9799488e-07,3.574678e-08,3.354653e-07,2.9502553e-07,2.1669257e-07,2.2556196e-07,2.9269722e-07,1.0389995e-06,1.0627555e-06,4.0654413e-07,8.1105827e-07,3.7888094e-07,7.827475e-08,9.3368e-07,9.95009e-07,1.5556725e-07,5.8978185e-07,1.0836811e-06,3.6752317e-07,1.9464642e-07,3.1292439e-07,3.9004226e-07,4.458707e-08,6.4550113e-07,3.7020072e-08
L2638_1,4.7826325e-07,9.185169e-08,6.86312e-07,7.644121e-08,9.939686e-07,9.436917e-08,1.0672957e-06,1.545428e-06,3.058667e-07,9.0920366e-08,5.501497e-07,3.5647827e-07,5.8396836e-08,3.480818e-08,1.5138503e-06,9.389041e-07,1.5477417e-06,3.4229015e-07,1.2708479e-06,2.8107024e-07,1.3241952e-06,2.2353197e-07,9.825017e-07,7.852941e-07,1.3668614e-07,9.854703e-07,5.734473e-07,1.2853707e-07,1.8434948e-06,1.3600365e-06,4.455651e-07,9.890064e-07,1.8859428e-06,7.992785e-07,6.4128835e-07,1.1096126e-06,8.587085e-07,5.6551653e-07,1.4926773e-06,1.3172685e-06,5.988404e-07,5.94373e-07,7.7435107e-07,1.0115618e-06,2.6841008e-07,1.4259422e-07,9.6682925e-08
