,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L2502_1,2.293018e-07,5.500624e-09,5.122274e-09,1.2732926e-09,6.162736e-09,4.4426997e-08,3.164605e-07,1.6870763e-07,1.4143734e-07,5.0800736e-08,3.907917e-08,6.511982e-09,2.5698682e-08,7.4149284e-08,9.3641574e-09,1.724402e-09,5.0495146e-09,5.653419e-09,5.6024874e-09,1.1219527e-08,9.677024e-10,2.3719622e-09,1.4966645e-08,1.10740075e-08,1.9426807e-09,1.8924766e-08,2.3981556e-08,9.284122e-08,2.107845e-08,4.21569e-08,3.4051482e-09,1.5097612e-08,4.2346073e-09,1.3387762e-08,4.110916e-08,8.6853106e-08,8.272764e-09,5.3754775e-08,7.821654e-09,1.2478267e-08,1.736189e-07,3.448804e-09
L2504_1,2.281624e-06,4.4703484e-08,8.614734e-09,2.0954758e-09,1.0477379e-08,9.0221874e-08,5.3446274e-07,7.345807e-08,2.0489097e-07,1.5948899e-08,2.7148053e-07,1.1059456e-08,8.96398e-09,1.260778e-07,3.4226105e-08,3.1432137e-09,8.381903e-09,9.429641e-09,9.546056e-09,1.9092113e-08,1.6298145e-09,4.1909516e-09,2.537854e-08,1.8742867e-08,3.259629e-09,3.236346e-08,4.0978193e-08,1.5832484e-07,4.575122e-08,7.159542e-08,3.1199306e-08,2.5727786e-08,4.6333298e-08,1.1944212e-07,2.8987415e-08,1.4761463e-07,1.3969839e-08,9.150244e-08,1.3387762e-08,2.1187589e-08,2.9511284e-07,6.0535967e-09
L251_1,5.66426e-07,3.2059324e-07,2.3798202e-07,8.07122e-08,1.698645e-07,1.02641934e-07,1.6298145e-09,8.8526576e-08,2.932211e-09,2.606248e-08,9.5387804e-08,1.4748366e-08,5.378388e-08,7.588824e-09,1.7847924e-07,1.4355464e-07,2.9431249e-08,7.845665e-08,8.5899956e-08,2.0689185e-07,9.850919e-08,2.6084308e-07,5.316906e-07,2.5413465e-07,2.6542693e-08,5.6024874e-10,1.1379598e-07,1.447188e-07,4.3517502e-08,9.9978934e-08,3.302557e-08,2.2933818e-08,5.948823e-08,1.211738e-07,5.5282726e-08,6.955088e-08,8.905772e-09,1.2305827e-07,2.086017e-08,3.5630364e-08,1.2405508e-08,1.8713035e-07
L2549_1,2.7993228e-06,1.1963071e-05,6.686896e-07,1.2281816e-06,8.244533e-06,0.00023834128,1.7311424e-05,8.059433e-06,2.8253999e-06,0.000121841906,0.00011437363,1.2802426e-05,1.5398022e-05,6.8855006e-06,1.0662945e-05,7.970491e-06,4.6393834e-06,7.0740934e-06,5.2549876e-06,5.7790894e-06,2.8831419e-06,1.8626451e-06,3.311783e-06,3.439514e-05,1.8563587e-06,5.316222e-06,1.0607764e-06,4.448928e-06,7.890165e-06,1.768535e-05,,,,,,,,,,,,
L2549_2,2.9220246e-06,1.203618e-05,6.8801455e-07,1.2232922e-06,8.319737e-06,0.00023804791,1.7487444e-05,8.177711e-06,2.8281938e-06,0.0001219376,0.00011439901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2551_1,5.903712e-07,1.5429687e-06,3.434252e-08,4.4563785e-07,1.1627853e-06,6.273508e-05,1.9858126e-06,3.784371e-07,3.3029937e-07,5.063656e-05,4.9849798e-05,2.293149e-06,4.343572e-06,4.111498e-07,7.1778777e-07,5.229376e-07,1.13941496e-07,5.1254756e-07,1.345179e-07,5.2212272e-08,1.5582191e-07,2.6705675e-07,1.3562385e-07,1.4859834e-06,3.1274976e-07,8.318748e-07,6.9855014e-07,6.9095404e-07,1.0740769e-06,9.138312e-07,4.4505286e-06,7.5472053e-07,9.504438e-07,2.4857582e-07,3.9795123e-06,5.29777e-07,5.720067e-07,4.2869942e-07,3.5276753e-07,2.0430452e-05,1.9734987e-05,7.741328e-07
L2559_1,3.2008393e-07,9.559153e-07,1.12631824e-07,1.0148506e-07,8.487259e-07,2.5220012e-05,1.514185e-06,7.355702e-07,1.8710853e-07,7.002347e-05,6.937396e-05,3.4534605e-07,1.7341808e-06,6.4622145e-07,9.73494e-07,7.194176e-07,4.2584725e-07,6.372575e-07,4.2811735e-07,4.991598e-07,1.4275429e-07,2.4680048e-08,3.1944364e-07,2.2854656e-06,1.2860983e-07,4.3946784e-07,8.527422e-09,4.4319313e-07,6.0047023e-07,1.4099351e-06,1.436274e-07,4.360627e-07,9.1147376e-07,7.6030847e-07,1.2440141e-06,1.0967779e-06,3.9985753e-07,6.520713e-07,4.231988e-07,1.427703e-05,1.4448015e-05,9.062351e-07
L256_1,5.3266413e-06,3.0152733e-06,2.2374443e-06,7.588533e-07,1.5971018e-06,9.649666e-07,1.5133992e-08,8.3248597e-07,2.7415808e-08,2.4505425e-07,8.9680543e-07,1.3859244e-07,5.0570816e-07,7.1304385e-08,1.6779522e-06,1.349661e-06,2.76661e-07,7.376075e-07,8.076313e-07,1.945009e-06,9.263167e-07,2.4528126e-06,4.9993396e-06,2.389599e-06,2.4953624e-07,5.355105e-09,1.0698568e-06,1.3606041e-06,4.0908344e-07,9.399955e-07,3.1053787e-07,2.157758e-07,5.593174e-07,1.1393568e-06,5.199108e-07,6.5378845e-07,8.364441e-08,1.1570519e-06,1.9610161e-07,3.350433e-07,1.1664815e-07,1.7595012e-06
L2565_1,7.117633e-07,1.4766701e-06,2.3876783e-07,1.1647353e-07,1.6037957e-06,8.535088e-05,2.6148045e-06,1.1739903e-06,2.781162e-07,7.1237446e-05,7.010333e-05,4.7619687e-07,5.975715e-06,1.0375516e-06,1.5400583e-06,1.0972726e-06,5.705515e-07,1.0528602e-06,6.1042374e-07,7.126946e-07,2.0314474e-08,1.5867408e-07,5.690963e-07,4.4816232e-05,1.6269041e-07,7.178169e-07,4.7206413e-08,8.973875e-07,1.0775984e-06,2.3891334e-06,2.1468732e-06,6.7293877e-07,1.7292914e-06,1.3464596e-06,5.0019007e-06,2.0163716e-06,8.2177576e-07,1.0628719e-06,5.6723366e-07,2.9282412e-05,2.958061e-05,1.7803977e-06
L2577_2,7.014023e-08,7.956987e-07,3.9552106e-08,1.1458178e-07,6.092596e-07,2.87914e-05,1.0816875e-06,4.2948523e-07,2.1554297e-07,5.199235e-05,5.1519324e-05,5.2266114e-07,2.2292515e-06,3.369496e-07,5.538168e-07,4.3936598e-07,2.0758307e-07,3.110472e-07,3.024761e-07,2.5802e-07,4.650792e-08,4.3946784e-09,1.3194222e-07,2.7564965e-06,1.3389217e-07,3.8144935e-07,1.611188e-07,8.608913e-08,5.458278e-07,8.9165405e-07,3.8290455e-07,3.7391146e-07,5.605689e-07,3.6925485e-07,1.9185682e-06,6.619521e-07,2.8563954e-07,2.8421346e-07,2.8012437e-07,2.0427018e-05,2.0432664e-05,4.877511e-07
L2584_1,4.5221532e-07,1.1503289e-06,1.0148506e-07,6.1205355e-08,7.512572e-07,7.7289704e-05,1.4120596e-06,6.807677e-07,2.2989116e-07,6.092136e-05,6.0355902e-05,5.4974225e-07,4.561385e-06,5.661277e-07,8.7640365e-07,6.564369e-07,4.3676118e-07,5.726761e-07,4.4133049e-07,4.991889e-07,3.2421667e-07,2.697634e-07,2.735178e-07,9.225914e-08,1.4825491e-07,4.3708133e-07,2.1702726e-07,3.6598067e-07,7.011404e-07,1.667795e-06,3.836176e-07,4.164176e-07,8.266361e-07,7.1534305e-07,3.1187083e-06,1.0497752e-06,5.3452095e-07,9.687792e-07,4.3792534e-07,9.567884e-07,1.097098e-06,4.991598e-07
L2592_1,1.9360596e-07,3.8305006e-07,5.83168e-08,5.2095857e-09,2.652596e-07,4.85461e-05,3.4135883e-07,1.808221e-07,4.497997e-08,1.0545438e-05,1.0427662e-05,1.9557046e-07,3.1332747e-06,1.1979137e-07,1.9417348e-07,1.6301783e-07,1.0225631e-07,9.655196e-08,1.0740041e-07,9.186624e-08,6.91216e-08,5.556649e-08,5.781476e-08,7.7852746e-07,2.480374e-08,1.0970689e-07,2.0067091e-08,5.0276867e-08,1.739536e-07,4.0117447e-07,2.5095505e-07,8.1367034e-08,1.9876461e-07,1.7655839e-07,2.6331763e-06,2.2249151e-07,1.1152588e-07,2.1876622e-07,1.385124e-07,3.0839394e-05,3.086053e-05,7.250492e-08
L2595_2,9.054929e-08,4.5495835e-07,1.17652235e-08,3.556488e-08,2.2142194e-07,4.4359804e-05,3.9773295e-07,1.6855483e-07,9.791984e-08,0.00014660078,0.0001464519,1.4120451e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2597_1,5.687907e-07,5.957845e-07,9.3641574e-08,3.936293e-08,4.3377804e-07,6.958438e-05,6.1017636e-07,3.4355617e-07,6.4610504e-08,8.003088e-06,7.684168e-06,8.5128704e-08,4.787318e-06,3.0739466e-07,4.474714e-07,3.1871605e-07,2.1280721e-07,3.418827e-07,2.0657899e-07,2.0102016e-07,9.4776624e-08,6.960181e-08,1.16517185e-07,1.7081911e-06,6.883056e-09,1.5775731e-07,1.1664815e-07,3.8737198e-07,2.2359018e-07,7.475319e-07,9.620271e-08,1.7909042e-07,4.2974716e-07,4.1851308e-07,3.813475e-06,5.116308e-07,1.1136581e-07,3.2922253e-07,1.425069e-07,5.9065205e-06,6.0307357e-06,5.010079e-07
L2610_1,2.9613147e-09,6.550763e-07,1.0331132e-07,5.6832505e-08,6.626142e-07,6.790433e-07,1.8925348e-06,8.4731437e-07,1.0551594e-07,3.148234e-07,3.8256985e-08,4.6457717e-07,1.3627141e-07,6.2297477e-07,1.0493095e-06,6.903647e-07,4.1757448e-07,5.980837e-07,5.141701e-07,7.526105e-07,1.9157596e-07,8.205825e-08,7.1268005e-07,2.785091e-07,7.991184e-08,1.9818253e-07,2.3336906e-07,4.0139275e-07,2.9658986e-07,5.2701944e-07,4.373578e-08,5.498441e-08,6.471528e-07,4.001704e-07,4.90043e-07,7.7499135e-07,1.1904049e-06,1.4194011e-06,4.071262e-07,1.1414886e-06,1.227636e-06,4.672329e-07
L2612_1,2.7968053e-07,2.2913446e-07,1.7830462e-07,2.6324415e-08,4.6247442e-07,3.9721635e-07,1.224791e-06,5.644979e-07,3.5361154e-08,8.940697e-08,1.200533e-08,2.546294e-07,7.599738e-08,5.080947e-07,7.128183e-07,4.4118497e-07,3.0528463e-07,4.0732994e-07,2.3171015e-07,5.6696445e-07,6.603659e-08,2.0232983e-07,5.386464e-07,3.4979894e-07,2.0881998e-09,2.5924237e-08,8.1781764e-08,3.6806887e-07,7.98027e-08,5.5144483e-08,1.033186e-09,7.946073e-08,4.2959437e-07,2.0685547e-07,1.2701639e-07,4.1860767e-07,8.07544e-07,8.1633334e-07,2.3844768e-07,7.411363e-07,7.9641177e-07,4.948088e-07
L2616_1,1.2563214e-06,1.3518911e-06,8.323659e-07,7.374547e-08,1.5407386e-06,2.372879e-06,5.277412e-06,2.2703716e-06,3.589921e-07,3.3846663e-07,2.759407e-08,1.067041e-06,2.2298264e-07,2.2377608e-06,3.5333505e-06,2.0925836e-06,1.826189e-06,2.3905995e-06,1.4992911e-06,3.0805713e-06,1.2992496e-06,6.346745e-07,2.460576e-06,4.7045614e-07,3.6470738e-08,8.65959e-07,2.5038753e-06,2.2962122e-06,6.4349297e-07,2.1805317e-06,4.8988295e-07,1.2280361e-07,2.7957285e-06,2.6732596e-06,2.9202492e-06,6.1263563e-07,2.5830523e-06,5.126589e-06,1.532746e-06,3.31091e-06,4.825415e-07,1.5957339e-06
L2616_3,8.4644125e-07,9.1743277e-07,1.4225297e-06,2.7944043e-07,1.9176805e-06,2.1788364e-06,6.1721003e-06,2.9992298e-06,2.6348425e-07,6.8767986e-07,4.926478e-07,1.2559103e-06,5.072434e-07,2.6883718e-06,3.664325e-06,1.4604157e-06,1.6064441e-06,2.0086954e-06,1.5929108e-06,3.6901547e-06,4.317917e-07,1.9231084e-07,3.7880382e-06,3.056055e-06,1.240769e-07,3.5031553e-07,1.7405691e-06,5.6289427e-06,7.031267e-07,1.3265817e-06,6.379705e-07,1.1323427e-06,2.238441e-06,1.0465155e-06,2.9955117e-08,8.480274e-07,3.6282945e-06,6.7444344e-06,1.2236487e-06,4.0886807e-06,1.7388884e-06,6.586335e-06
L2638_1,4.7498906e-07,8.4826024e-07,4.0289888e-07,3.5506673e-08,1.3093813e-06,8.6535874e-07,2.2922177e-06,1.0299555e-06,4.071626e-08,3.008172e-07,1.4581019e-07,6.5196946e-07,2.8018258e-07,9.1749826e-07,1.421402e-06,6.9306407e-07,1.7567072e-06,2.1205051e-07,4.935864e-07,1.2113887e-06,3.6797428e-07,1.0745134e-07,9.990326e-07,1.0034128e-06,3.2129174e-07,2.647139e-07,6.0717866e-07,7.086928e-07,1.789449e-07,8.5945067e-07,1.478038e-07,2.7284841e-08,9.3408744e-07,7.606577e-07,5.192851e-07,7.3041883e-07,1.164386e-06,1.5455153e-06,6.220507e-07,1.4274847e-06,1.067674e-06,6.345217e-07
L2650_1,1.811597e-06,1.94108e-06,1.4867692e-06,2.2910535e-07,4.907488e-06,3.100111e-06,6.496033e-06,2.76239e-06,5.077163e-07,4.1903695e-07,2.389017e-06,9.952637e-07,2.3603207e-08,2.1621236e-06,4.2707543e-06,3.1807285e-06,5.1722454e-06,2.4409674e-06,7.225899e-07,5.0225062e-06,4.800677e-07,9.147916e-07,3.3749384e-06,3.0705123e-06,1.2601959e-08,6.434857e-08,9.1682887e-07,2.3376197e-06,8.7707303e-07,1.3900863e-06,3.4022378e-08,2.9715011e-08,3.1070667e-06,2.605986e-06,2.166431e-06,1.5376427e-06,4.910631e-06,6.118702e-06,1.536333e-06,4.4314074e-06,3.1033705e-06,3.1036907e-06
L2657_1,3.4899858e-07,1.2219098e-06,9.591167e-07,1.4157558e-07,2.9220246e-06,2.4438777e-06,4.539368e-06,2.0435982e-06,2.4538895e-07,1.6056438e-06,4.8050424e-07,5.127222e-07,1.0232907e-07,1.6568811e-06,2.8638751e-06,2.1671149e-06,2.998233e-06,1.1266384e-06,8.32224e-08,2.6154012e-06,2.8488284e-07,7.152412e-07,2.1673477e-06,2.062021e-06,9.163341e-08,1.166336e-07,3.2864045e-07,1.6197737e-06,6.197224e-07,5.925249e-07,8.367351e-08,1.2517557e-07,1.9146974e-06,1.4437828e-06,1.077744e-06,8.756615e-07,3.4103723e-06,3.7441205e-06,3.5593985e-07,2.9693765e-06,2.4574401e-06,2.6868802e-06
L2681_1,3.0669034e-06,5.6372373e-06,4.9051596e-06,1.5489059e-07,1.730281e-05,8.166418e-06,1.6114558e-05,7.200986e-06,9.275973e-07,2.4723122e-06,1.6214326e-06,2.3670145e-06,1.1175871e-08,5.75179e-06,1.0258867e-05,2.0793523e-06,2.2537773e-05,1.3443641e-05,4.7374633e-06,1.41102355e-05,1.1565862e-06,2.2893073e-06,7.850933e-06,7.1834656e-06,1.8300489e-07,2.0576408e-07,1.4025136e-06,5.4662232e-06,2.0228908e-06,2.7349452e-06,3.1723175e-08,3.8236612e-07,6.993476e-06,5.434151e-06,4.56837e-06,3.451656e-06,1.213362e-05,1.2968085e-05,1.6204431e-06,1.0804506e-05,9.134237e-06,8.775329e-06
L2682_1,2.2782478e-05,4.0086452e-05,3.5398174e-05,1.5180558e-06,0.00012311107,6.327825e-05,0.00011977181,5.3482596e-05,7.392373e-06,1.5306752e-05,4.726043e-05,1.4956575e-05,1.6093254e-06,4.2889267e-05,7.6377764e-05,2.19699e-05,0.00015636254,9.422051e-05,1.1793338e-05,8.2261395e-05,1.0452233e-05,1.9313302e-05,5.8075413e-05,5.349703e-05,3.2819808e-06,3.636349e-06,7.862225e-06,4.0607993e-05,1.6506761e-05,1.749862e-05,1.8221326e-06,3.2866374e-06,5.2270945e-05,3.9999373e-05,3.2967422e-05,2.3166649e-05,9.324774e-05,8.848589e-05,1.5334226e-06,8.047605e-05,6.860355e-05,6.983895e-05
L2694_2,1.4826619e-06,2.0969856e-06,9.3471317e-07,7.108865e-07,2.2453642e-06,5.4932025e-07,3.863621e-06,1.5089099e-06,1.2413147e-07,2.7816168e-06,2.8640352e-06,2.17665e-06,8.304414e-07,1.1569246e-06,2.2219647e-06,7.767849e-07,3.0852934e-06,1.7420716e-06,3.3898097e-05,3.3688983e-05,1.8803621e-06,1.5760015e-06,1.9475447e-06,2.0437437e-06,1.5389924e-06,1.8849751e-06,2.5077497e-06,1.2775599e-06,7.0144233e-07,2.7781462e-06,8.5791544e-07,2.978959e-07,1.2227865e-06,1.155815e-06,1.2496457e-06,2.8217473e-06,7.602539e-07,9.992233e-06,8.861269e-06,2.1130509e-06,1.4819234e-06,1.2678247e-06
L2696_1,6.2043546e-07,1.1813681e-06,5.351467e-07,8.7864464e-08,1.7135462e-06,9.0729736e-07,3.2504322e-06,1.4195539e-06,1.9354047e-08,3.8700819e-07,1.6648846e-07,8.7416265e-07,3.4860568e-07,1.245382e-06,2.0328152e-06,1.1111988e-06,2.1344895e-06,4.107569e-07,6.963237e-07,1.8047867e-06,4.833564e-07,1.2223609e-07,1.4285906e-06,1.4339603e-06,4.3747423e-07,3.6371057e-07,8.481293e-07,1.0278454e-06,2.6184716e-07,1.1895172e-06,1.9987056e-07,3.2334356e-08,1.3285899e-06,1.0798394e-06,7.263443e-07,1.0249496e-06,1.6839913e-06,2.257293e-06,8.851348e-07,2.0360021e-06,1.5270925e-06,9.569776e-07
L2696_2,2.0825246e-07,5.926413e-07,2.5595364e-07,4.3553882e-08,9.1416587e-07,3.894529e-07,1.6402046e-06,7.145718e-07,1.3620593e-08,1.8934952e-07,3.389141e-08,4.7625508e-07,1.6544072e-07,5.81771e-07,1.0244985e-06,5.860493e-07,1.1307566e-06,1.1858356e-07,2.9920193e-07,9.5040014e-07,2.2863969e-07,5.5806595e-08,7.2042167e-07,7.221679e-07,2.1899177e-07,1.8435821e-07,4.288304e-07,5.2095857e-07,1.3194222e-07,5.9940794e-07,1.00713805e-07,1.6298145e-08,6.6948996e-07,5.4413977e-07,3.6600977e-07,5.164911e-07,8.4856583e-07,1.1374505e-06,4.460162e-07,1.0259391e-06,7.694762e-07,4.8219226e-07
L271_1,1.1386292e-06,6.297778e-07,4.6080095e-07,1.5838305e-07,4.830217e-07,1.9176514e-07,1.6311242e-07,3.3160904e-07,1.6094418e-07,4.8443326e-08,1.7778075e-07,2.7546776e-08,1.0091753e-07,1.4770194e-08,3.3367542e-07,2.715533e-07,5.553011e-08,1.4716352e-07,1.6056583e-07,3.931782e-07,1.9004801e-07,5.0046947e-07,1.0180083e-06,4.826579e-07,5.0480594e-08,1.0913936e-09,2.1257438e-07,2.6996713e-07,8.1185135e-08,1.876324e-07,6.2180334e-08,8.616189e-08,1.5409023e-07,2.264569e-07,1.02998456e-07,1.3039971e-07,1.6705599e-08,2.2986205e-07,3.9086444e-08,6.670598e-08,2.3370376e-08,3.4955156e-07
L2725_1,9.124342e-07,1.4281541e-06,1.143926e-06,2.8754584e-07,3.6793645e-06,2.620509e-06,5.2338582e-06,2.3137836e-06,3.8411235e-07,3.387977e-07,1.8402643e-06,9.1671245e-07,1.3574027e-07,1.6597623e-06,3.2877142e-06,2.6276393e-06,3.9069855e-06,1.4649995e-06,5.620532e-07,3.8913568e-06,1.18423486e-07,6.8274676e-07,2.6724301e-06,2.5198678e-06,1.0646181e-07,1.5227124e-07,7.2128023e-07,2.041139e-06,5.570182e-07,8.9453533e-07,1.8073479e-08,1.2732926e-07,2.0908483e-06,1.5346159e-06,1.196051e-06,1.3615645e-06,3.7827413e-06,5.1025418e-06,1.7179118e-06,3.4135883e-06,2.7283968e-06,2.658111e-06
L2725_2,1.6293197e-06,4.0544546e-07,6.39644e-07,2.2526365e-07,2.184417e-06,1.5756814e-06,2.5287445e-06,1.1304219e-06,4.4942135e-07,7.117342e-07,2.0718726e-06,2.188608e-07,4.741305e-07,5.380716e-07,1.5904079e-06,1.8179126e-06,1.9030413e-06,1.7812708e-06,8.879579e-08,2.4584297e-06,5.598122e-07,8.1275357e-07,1.479988e-06,1.321896e-06,2.7861097e-07,1.6496051e-07,5.3842086e-09,1.1955271e-06,3.434252e-07,1.3463432e-07,1.5905243e-07,1.6050762e-07,9.748328e-07,6.254995e-07,5.75732e-07,4.885369e-07,2.3944885e-06,3.2603566e-06,9.755022e-07,1.7092098e-06,1.4547841e-06,1.9037398e-06
L2725_3,2.5969493e-06,7.9968595e-07,1.6625563e-07,4.612957e-08,8.0509926e-07,3.8166763e-07,2.9234798e-08,2.0532752e-08,3.217283e-07,9.041105e-07,2.022527e-06,4.737958e-07,6.308401e-07,3.939349e-07,8.0428435e-08,7.884373e-07,1.7943967e-07,1.837645e-06,9.1892434e-07,9.721552e-07,8.272036e-07,9.392388e-07,4.7539652e-07,3.092573e-07,6.6609937e-07,4.936446e-07,5.35656e-07,3.453024e-07,1.3114186e-07,9.80639e-07,3.357709e-07,1.9605795e-07,4.802132e-08,9.7512384e-08,4.1443855e-08,4.0224404e-07,1.1833326e-06,1.4203542e-06,2.3466418e-07,3.9872248e-09,8.425559e-09,9.766518e-07
L2734_1,3.3881224e-07,1.6926497e-06,1.500106e-06,1.00139005e-07,4.286063e-06,4.182126e-06,7.055496e-06,3.5176927e-06,7.128983e-08,1.2761011e-06,2.4957117e-06,4.4284388e-07,2.0025618e-07,3.0586234e-06,4.5030683e-06,2.8818758e-06,4.8120783e-06,2.0780208e-06,1.1882948e-06,4.4655317e-06,3.0649244e-07,1.3511744e-06,3.2468597e-06,3.0907831e-06,2.5783083e-07,4.776448e-07,1.9099389e-07,2.3419052e-06,9.62762e-07,3.9371662e-07,2.2180029e-07,3.186433e-07,2.7479982e-06,1.8819264e-06,1.4083271e-06,1.1734301e-06,5.4476623e-06,7.3122937e-06,1.8025094e-06,4.4109547e-06,4.240268e-06,4.6591304e-06
L2810_1,4.5057182e-05,5.4298725e-06,1.068844e-05,2.607907e-06,4.044414e-06,5.4537377e-06,8.98022e-06,5.4542325e-06,1.1662778e-06,2.7272617e-06,6.9157395e-06,3.632158e-07,1.2317323e-06,4.0973537e-06,7.719063e-06,1.1549564e-05,2.5328074e-05,3.07569e-05,1.2367498e-05,1.9309198e-05,5.8696314e-06,2.7512142e-06,5.848793e-06,5.005335e-06,9.887735e-07,6.214832e-07,3.0509545e-07,4.648522e-06,2.0515872e-06,3.222376e-07,2.7558417e-07,3.767782e-07,4.6733767e-06,3.4024997e-06,9.027397e-06,2.9495568e-06,1.0896038e-05,1.3917685e-05,3.5318662e-06,7.496943e-06,5.8455335e-06,8.338975e-06
L2815_1,8.062087e-05,4.4107437e-06,5.4698437e-05,3.4249388e-06,1.827348e-05,2.7481932e-05,9.318441e-05,3.49537e-05,5.848473e-06,1.2610573e-05,3.5490375e-05,4.576752e-06,4.829373e-06,2.742e-05,4.9501657e-05,4.903809e-05,0.00019073719,,,,,,,,,,,,,,,,,,,,,,,,,
L2825_1,7.765571e-06,1.6687554e-06,7.160328e-06,1.6670267e-05,5.5792625e-06,2.7974602e-06,0.0001300681,2.7185597e-06,5.818729e-07,1.3216049e-06,3.4057593e-06,7.819035e-07,5.8679143e-07,1.9975123e-06,3.8016587e-06,1.2913049e-05,0.00011689199,6.203189e-05,3.7831192e-05,6.863795e-05,3.334631e-05,5.339556e-06,3.8356957e-06,1.1814918e-06,1.5214755e-07,9.198993e-08,1.3455428e-07,1.0769436e-06,4.2305328e-07,1.5290425e-07,3.845076e-05,1.0553049e-07,1.4945981e-06,1.092325e-06,2.701908e-05,1.50245905e-05,8.4380445e-06,5.198279e-06,1.4015968e-06,3.0379742e-06,2.3834e-06,3.0371884e-06
L283_1,1.3508834e-06,2.4944893e-07,3.4100958e-07,2.0799052e-07,4.395406e-07,2.6787166e-07,8.6729415e-09,2.26064e-07,1.0884833e-08,6.8350346e-08,2.481538e-07,3.83734e-08,1.3998942e-07,1.9732397e-08,4.6334753e-07,3.722962e-07,7.660128e-08,2.0496373e-07,2.2255699e-07,5.368638e-07,2.5352347e-07,6.766495e-07,1.3825193e-06,6.614282e-07,6.909249e-08,1.3969839e-09,2.963643e-07,3.7702557e-07,1.13548595e-07,2.583256e-07,8.390634e-08,5.6781573e-08,1.535227e-07,3.1296804e-07,1.4327816e-07,1.8108403e-07,2.5174813e-08,3.1877425e-07,5.16593e-08,9.278301e-08,3.250898e-08,4.83662e-07
L2850_1,3.523822e-05,8.98377e-06,5.8902195e-05,1.5092548e-05,9.556068e-06,1.2216624e-06,0.000119955046,3.7518563e-05,6.002607e-06,1.2517208e-05,3.639632e-05,2.2002496e-07,4.5429915e-06,2.9433984e-05,5.295663e-05,4.4839224e-05,0.000378964,0.00026579923,6.5705506e-05,6.849179e-05,3.5219593e-05,8.649426e-06,2.4295412e-05,2.584164e-05,2.631219e-06,1.3867393e-06,4.1304156e-06,2.289447e-05,9.472482e-06,5.4491684e-06,7.620547e-06,1.4761463e-06,2.4188543e-05,1.7999439e-05,4.465785e-05,4.6651112e-05,3.0911528e-05,6.2692445e-05,1.6901875e-05,3.6415644e-05,2.8308015e-05,3.6337413e-05
L2861_2,6.0540624e-06,5.2355463e-06,2.5415793e-06,4.8890943e-06,2.7198344e-05,6.848946e-06,1.3531884e-05,1.1509634e-05,2.3132889e-06,5.156733e-06,1.264317e-05,6.723916e-06,2.0861626e-06,8.721021e-06,1.6303617e-05,6.4781634e-06,8.4993546e-05,6.956572e-05,1.0177144e-05,3.5810517e-06,2.0384323e-07,5.227397e-06,9.262003e-06,9.032665e-06,1.4241086e-06,1.0579824e-06,1.3364479e-07,8.489937e-06,3.373134e-06,1.937151e-07,1.7675338e-06,7.194467e-07,8.04197e-06,5.752896e-06,9.645009e-07,3.9102742e-06,1.527497e-05,2.1823565e-05,5.586655e-06,1.24902e-05,8.553732e-06,1.3472512e-05
L2877_1,1.196313e-07,1.30236e-06,8.72511e-07,4.8639777e-07,2.4190667e-06,3.4171098e-06,6.714261e-06,2.9877556e-06,4.916583e-07,2.016437e-06,3.805304e-06,4.931644e-08,8.1315375e-07,2.1484157e-06,3.5591365e-06,1.8228457e-06,2.467641e-07,1.0782678e-06,1.46206e-06,3.012421e-06,6.0790626e-07,1.5171026e-06,2.6787602e-06,2.9189105e-06,9.704236e-07,1.0458316e-06,8.353236e-07,2.9548755e-06,9.988144e-07,5.29486e-07,4.861504e-07,5.884285e-07,2.4671535e-06,1.1149168e-06,1.388129e-06,7.44898e-07,5.7624493e-06,7.740258e-06,1.6388585e-06,4.0835803e-06,3.877569e-06,5.980539e-06
L2880_1,1.999506e-06,5.598122e-07,2.870729e-07,2.6881753e-07,5.497641e-07,2.043962e-07,3.5418998e-06,1.1482553e-06,1.7052662e-07,5.9746526e-07,1.5120968e-06,4.7126377e-08,3.2538082e-08,9.632349e-07,1.750821e-06,1.2664823e-06,8.473464e-06,6.3545303e-06,1.1864031e-06,1.1547381e-06,8.4386556e-08,7.173221e-07,1.2790551e-06,1.2268283e-06,2.4569454e-07,2.5288318e-07,4.6522473e-08,8.705101e-07,6.374321e-07,8.1330654e-08,2.5704503e-07,1.458393e-07,1.1817174e-06,8.4750354e-07,2.1189044e-07,6.546761e-07,2.4811307e-06,3.345951e-06,8.2931365e-07,1.9881845e-06,1.8012652e-06,2.050234e-06
