,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L80,8.950592e-07,7.287599e-07,1.2106611e-06,8.533301e-06,1.1614175e-06,2.0785956e-07,2.3731263e-07,5.013426e-07,4.611793e-07,8.6258515e-06
L90,5.296897e-06,6.650982e-06,2.690067e-06,0.00042184893,5.148904e-07,3.9683073e-07,7.3322735e-07,1.7324637e-06,3.6714482e-07,2.0246167e-05
L93,5.0932867e-06,2.0772568e-06,1.9146246e-06,9.029245e-05,1.2523669e-06,6.9697853e-07,1.2493983e-06,2.7661154e-06,6.057089e-07,6.57042e-05
L1390,7.36909e-08,,,,,,,,,
L1392,8.1490725e-07,0.00020484067,0.00027123245,1.6274862e-07,5.4133125e-08,6.542541e-08,8.955714e-06,2.8056093e-08,2.1728105e-05,0.00014450413
L1396,3.1699892e-07,1.6831094e-05,0.0014632695,2.727029e-08,9.080395e-09,1.1001248e-08,1.4429679e-07,4.598405e-09,1.975568e-07,3.6045676e-06
L1428,9.742507e-09,5.1721145e-07,4.930458e-05,1.2412784e-08,4.147296e-09,4.991307e-09,6.567279e-08,2.1391315e-09,9.019277e-08,2.7382492e-05
L1429,2.7706847e-07,1.4714547e-05,0.001475616,2.1827873e-11,7.275958e-12,7.275958e-12,5.820766e-11,0.0,8.731149e-11,1.549779e-09
L1444,1.2174132e-07,2.477027e-07,3.1804666e-07,1.8058927e-07,6.018672e-08,7.249764e-08,1.7808634e-07,3.108289e-08,1.3213139e-08,1.0214862e-06
L1446,8.6589716e-07,5.0629023e-07,1.1792872e-06,1.277891e-06,4.231697e-07,5.1385723e-07,9.868527e-07,2.1641608e-07,3.3527613e-07,4.078145e-06
L1474,3.953697e-05,1.762784e-05,7.225899e-06,5.6434423e-05,1.7678132e-05,2.0685606e-05,5.62286e-06,3.1595118e-07,8.13324e-06,0.000119659584
L1515,0.00022990257,1.387205e-05,2.4212524e-05,0.00016177632,4.4453423e-05,5.5083074e-05,2.2172928e-05,9.663869e-06,2.2568274e-05,0.000367661
L1517,0.00025157072,1.8828548e-05,2.6947819e-05,0.00017558178,4.75822e-05,5.9552956e-05,2.3476314e-05,1.0177493e-05,2.490636e-05,0.00039781025
L1519,8.513918e-05,0.00019930536,6.213784e-05,8.7664695e-05,2.5092158e-05,3.0730153e-05,8.764677e-06,0.0006639268,1.4028046e-05,1.2331642e-05
L1520,0.00012640911,0.00013434107,3.8543367e-05,2.5396585e-05,6.3265907e-06,8.465373e-06,3.1342497e-06,0.00010921463,3.2749376e-06,8.015538e-05
L1523,2.7354807e-05,1.794193e-05,8.0941245e-06,6.1266124e-05,1.5461352e-05,2.1014595e-05,6.4179767e-06,0.00012949412,7.978873e-06,7.973658e-05
L1546,2.898206e-05,3.7506456e-05,5.2709365e-06,4.646217e-05,2.0086067e-05,2.1473039e-05,9.27865e-06,5.0674425e-06,5.019596e-06,0.000114813796
L1547,2.2746157e-05,3.1717704e-05,6.8893423e-06,3.7218095e-05,1.5010359e-05,1.6452628e-05,8.629868e-06,5.3448603e-06,5.97327e-06,0.0001090233
L1548,1.7712591e-05,2.6862836e-05,8.509494e-06,3.0056573e-05,1.069135e-05,1.2267148e-05,8.270377e-06,5.862443e-06,8.50996e-06,8.416129e-05
L1582,7.983355e-06,6.785849e-07,4.761794e-06,1.1342403e-05,3.0401861e-06,3.940717e-06,2.934481e-06,4.6573696e-06,1.6213744e-06,
L1623,3.5085686e-06,1.1190423e-07,2.4111796e-06,6.2193867e-06,1.0289077e-06,1.4059624e-06,7.321505e-07,2.2092718e-06,5.981419e-07,
L1637,3.770576e-05,4.132744e-06,2.5835587e-05,9.9706696e-05,5.136407e-05,6.920658e-06,3.714813e-06,1.5885103e-05,3.1585805e-06,2.7502188e-05
L1638,7.251231e-05,7.797033e-06,4.97289e-05,0.0001833993,9.6708536e-05,1.3787765e-05,7.3490664e-06,3.09553e-05,5.5851415e-06,4.6613626e-05
L1644,2.269668e-05,2.0760344e-06,1.5115133e-05,6.7477114e-05,3.267033e-05,3.6744168e-06,2.2330787e-06,9.100651e-06,3.2456592e-06,5.1538227e-06
L1653,4.1249907e-05,3.442634e-06,2.6931055e-05,9.666453e-05,5.3935917e-05,8.06828e-06,4.790025e-06,1.7805956e-05,2.3229513e-06,2.9629562e-05
L1674,2.6980451e-06,3.459936e-07,1.6049016e-06,3.9479673e-06,8.3276245e-07,1.111428e-06,5.826514e-07,1.8696956e-06,8.282659e-07,6.8173176e-06
L1680,8.686038e-07,2.5582209e-05,2.8624781e-06,4.2422515e-05,,,,,,
L1688,1.6089878e-05,6.121548e-05,1.6254373e-05,6.968086e-05,3.6065932e-05,1.0430347e-05,7.7299774e-08,1.1086231e-05,2.2742897e-06,1.1286465e-05
L1715,3.9606413e-05,,,,,,,,,
L1752,3.5505742e-05,6.314134e-06,2.7895207e-05,1.1467142e-05,4.2846426e-05,1.7851591e-05,4.7797803e-06,1.950073e-05,1.2584496e-06,9.031687e-05
L1858,2.187799e-05,5.7303114e-06,1.8152467e-05,3.7176826e-05,8.987903e-06,7.3440606e-06,3.0560768e-06,1.5158206e-05,4.0826853e-07,0.00016721146
L1882,6.109214e-06,1.5773112e-06,4.8796937e-06,1.4550649e-05,2.2216263e-06,2.083878e-06,9.929208e-07,4.426751e-06,5.933398e-07,1.744261e-05
L1893,5.745591e-06,1.6235281e-06,4.776317e-06,1.5761994e-05,2.370769e-06,2.0315929e-06,9.110954e-07,4.3089385e-06,5.8708247e-07,1.676238e-05
L1894,2.1813612e-06,6.7354995e-07,1.9035942e-06,5.9581507e-06,1.0434596e-06,7.983472e-07,3.14496e-07,1.6570411e-06,1.6298145e-07,6.3360494e-06
L1901,2.0868029e-05,5.5016135e-06,1.6584178e-05,0.0004393987,2.3788016e-06,2.1363667e-06,9.878422e-07,4.5929046e-06,6.259652e-07,1.8130726e-05
L1945,2.4048495e-07,1.9537401e-07,1.8253922e-07,3.556779e-07,1.1836528e-07,1.428707e-07,3.1592208e-07,6.091432e-08,5.7101715e-08,1.595763e-06
L1952,8.3724444e-08,2.0474545e-07,2.6668567e-07,2.4447218e-09,2.7146598e-07,4.9505616e-08,9.978976e-08,1.1891825e-07,3.6154233e-08,4.1513704e-07
L1955,1.658115e-05,4.2086467e-06,1.1783559e-05,7.729384e-05,2.7109752e-05,2.3539178e-07,1.7773127e-06,5.5476557e-06,2.0737061e-06,1.11393165e-05
L1980,1.642626e-05,4.2761676e-06,1.294259e-05,,,,,,,
L2087,3.167137e-05,4.111079e-05,6.836606e-06,4.760921e-05,2.1726708e-05,2.2979453e-05,1.02036865e-05,5.7370635e-06,2.7972274e-06,0.00012158661
L2112,4.3328415e-05,4.886533e-06,9.462034e-06,2.329005e-06,2.0561827e-05,1.7745333e-05,2.1099404e-06,3.2659445e-05,5.6375866e-06,6.310863e-05
L2113,5.242508e-05,4.3470645e-06,2.1531596e-05,7.402734e-06,2.4886685e-05,2.1927059e-05,3.9695296e-06,9.476789e-06,2.0276057e-06,1.6124686e-05
L2119,9.625184e-05,3.5457604e-05,5.3755182e-05,0.00010272139,3.1864736e-05,3.0473224e-05,1.2438744e-05,4.1059102e-05,2.438086e-06,0.00020595244
L2129,0.00013848837,1.7116894e-05,4.4272398e-05,6.512378e-05,3.1040167e-05,2.588809e-05,5.715294e-06,3.5400386e-05,4.766509e-06,0.00015214435
L2130,2.2457214e-05,1.5180558e-07,3.0989177e-05,5.004916e-05,1.64503e-05,1.4945632e-05,6.1903847e-06,2.3909844e-05,1.7787097e-06,0.0001059043
L2138,7.4002426e-05,1.4773221e-05,5.089573e-05,9.613775e-05,3.6948826e-05,2.9807095e-05,1.076574e-05,3.704871e-05,6.5697823e-06,0.00019114837
L2147,8.0254395e-05,2.2394815e-05,5.0990842e-05,9.62154e-05,3.435323e-05,2.8703827e-05,1.1131167e-05,3.7020538e-05,5.890033e-06,0.00019098318
L2215,4.231697e-08,4.7229696e-07,7.0774695e-07,6.437767e-08,2.1478627e-08,2.5844201e-08,1.08906534e-07,1.1175871e-08,3.5914127e-08,
L2225,4.284666e-07,4.9825758e-08,2.8504292e-07,6.232294e-07,2.0774314e-07,2.4406472e-07,5.0337985e-07,1.09139364e-07,1.5133992e-07,2.2388995e-06
L2230,1.3776589e-06,7.1013346e-07,1.73226e-06,2.0340085e-06,6.738119e-07,8.181669e-07,1.582317e-06,3.4435652e-07,5.236361e-07,6.625196e-06
L2231,3.637979e-12,3.274181e-11,5.0931703e-11,3.637979e-12,3.637979e-12,0.0,1.0913936e-11,0.0,3.637979e-12,
L2246,3.4196273e-07,1.9460276e-07,3.5859557e-07,4.6131754e-07,4.985486e-08,7.2868716e-08,4.0326267e-07,4.2706233e-07,1.29512046e-08,1.7028142e-06
L2308,2.364468e-06,1.6907958e-05,2.8345676e-07,3.0033698e-05,2.5870366e-05,1.907465e-06,1.575303e-06,1.4820398e-06,1.663511e-05,3.249453e-05
L2371,1.5076948e-06,1.8052466e-05,0.00015251379,4.176033e-05,1.2799283e-06,2.2106105e-06,1.4390389e-06,3.28006e-06,9.979995e-07,
L2414,5.835318e-09,1.8684659e-06,2.0142616e-06,1.7433194e-08,5.820766e-09,7.014023e-09,8.985808e-08,3.0122465e-09,,
L2446,2.913177e-06,0.000642322,0.000941006,6.663613e-07,2.2165477e-07,2.6775524e-07,7.566763e-05,1.09896064e-07,6.791577e-05,0.00045539066
L2450,8.4005296e-07,0.0002203628,0.00029197487,1.3236422e-07,4.400499e-08,5.296897e-08,7.502851e-06,2.2700988e-08,2.3610191e-05,0.00015036785
L2514,7.5408025e-08,1.120934e-07,1.3431418e-07,1.11729605e-07,3.7180143e-08,4.483445e-08,1.05254e-07,1.9179424e-08,1.2543751e-08,5.7343277e-07
L2520,9.656651e-08,7.620838e-08,6.989285e-08,1.428416e-07,4.7541107e-08,5.7392754e-08,1.2658711e-07,2.446177e-08,2.3195753e-08,6.373157e-07
L2612,1.6747363e-06,4.9054506e-08,1.1020893e-06,2.4372275e-06,8.433417e-07,8.889474e-07,5.555339e-07,1.0383665e-06,2.9086368e-07,9.249634e-06
L2802,2.2497406e-06,1.733104e-06,1.4715624e-06,8.8100205e-06,2.2124805e-05,3.0983938e-07,9.12376e-07,2.117682e-06,1.9245752e-05,4.4226515e-05
L2804,4.0619925e-06,1.5736645e-05,1.6472186e-06,3.2360083e-05,3.6860176e-05,1.3172394e-06,1.8217834e-06,2.5186455e-06,2.1668937e-05,4.2932035e-05
L2877,2.5585796e-06,8.980387e-07,2.123743e-06,3.6600832e-06,2.0462867e-06,1.3676035e-06,2.7040005e-07,1.0468466e-06,1.5919832e-06,7.934803e-06
L2878,2.8727663e-06,2.214947e-07,2.0434672e-06,4.8367656e-07,2.4736219e-06,1.0359363e-06,3.8124563e-07,1.4244433e-06,5.823531e-07,4.7221547e-06
L2880,3.9726e-06,2.3069151e-07,2.789413e-06,2.0272855e-06,3.3105607e-06,1.220149e-06,5.0113886e-07,2.1395826e-06,1.1219527e-08,4.112124e-06
L2888,1.7496175e-05,7.889001e-06,1.8895371e-06,3.1774165e-05,1.0246527e-05,1.1669705e-05,3.1059608e-06,6.859843e-05,4.029367e-06,3.7351507e-05
L2987,1.71797e-06,3.1021773e-07,2.4478068e-06,4.0124287e-06,8.957868e-07,8.585339e-07,4.3373439e-07,1.6601407e-06,2.3696339e-07,
L3061,4.1786843e-05,7.994386e-06,,,,,,,,
L3156,7.861745e-07,4.8516813e-07,6.952396e-07,6.30413e-06,1.0826261e-06,1.0027725e-07,1.1637894e-07,2.6362977e-07,2.9213697e-07,
L3181,4.5524212e-07,3.594905e-07,3.2992102e-07,6.732298e-07,2.2404129e-07,2.70491e-07,5.9668673e-07,1.15309376e-07,1.094304e-07,
L3226,2.61658e-07,1.4257239e-07,3.0657247e-07,5.278125e-07,6.877235e-08,2.9838702e-08,1.1132215e-08,2.1443702e-07,8.0165773e-07,4.8903166e-07
L3236,1.7896527e-05,3.4184195e-06,3.434217e-05,3.3180462e-05,5.4572127e-05,1.4541554e-05,7.073977e-06,5.532871e-06,1.2363307e-05,0.000109795015
L1006,1.0512769e-05,1.2378441e-06,3.342866e-07,1.5997735e-05,7.888302e-07,7.5077987e-06,1.02168415e-05,2.1696906e-06,1.7276034e-07,2.7801841e-05
L1013,9.358511e-06,4.9265567e-05,6.724149e-07,2.3091095e-05,3.3387914e-07,7.649767e-06,9.970157e-06,2.5463523e-06,6.421469e-07,7.500069e-05
L1014,6.0187886e-06,3.3554737e-05,8.731149e-08,1.574657e-05,5.020993e-07,4.031812e-06,7.378403e-06,1.312932e-06,6.7881774e-07,1.6742619e-05
L1024,3.7567224e-06,1.9381754e-05,2.8088689e-06,2.7217437e-05,1.0085059e-06,8.6892396e-07,6.2452164e-06,4.4400804e-07,1.0954682e-06,0.0005162882
L1025,2.7535134e-06,6.7901565e-06,6.8534864e-06,0.00048713954,9.027426e-07,1.1031138e-05,5.1198294e-06,4.659698e-06,8.516363e-07,9.1204594e-05
L200,6.3648913e-06,4.635658e-06,7.448485e-06,6.843149e-05,7.2722323e-06,3.2385346e-05,1.315726e-06,2.7671922e-06,2.665678e-06,0.0004724511
L3121,1.032374e-05,5.1691313e-06,4.434347e-06,4.4000044e-06,2.2119202e-06,5.48549e-06,1.0004878e-05,1.4588877e-06,5.106267e-07,0.00011422415
L658,5.4498087e-06,5.686539e-06,2.440589e-05,5.076907e-05,3.828254e-05,1.681142e-05,2.4045818e-05,1.6633421e-05,8.5908687e-07,0.0001498292
L735,2.5292684e-06,2.2773456e-06,1.2232253e-05,1.6933162e-05,1.24256185e-05,8.433417e-06,2.2164284e-05,7.713039e-06,1.0640651e-06,
L736,5.1265815e-06,1.8235063e-05,1.5112106e-05,6.239861e-08,1.7642044e-05,1.2250501e-05,5.678553e-05,1.1012424e-05,2.2691675e-06,0.00011071062
L737,2.5210902e-06,1.668802e-05,1.5762402e-05,1.6782782e-05,1.907174e-05,1.2751436e-05,3.067369e-05,1.15160365e-05,1.8751016e-06,5.1780953e-05
L770,2.1947548e-05,3.6808196e-06,9.37446e-06,4.5067864e-05,1.016981e-05,3.5907142e-06,3.9377017e-05,5.086651e-06,9.4110146e-07,0.00040490413
L771,8.421787e-05,1.7124694e-06,6.9177477e-06,4.9305963e-05,7.5085554e-06,2.9862858e-06,3.3979537e-05,3.9770966e-06,2.3993198e-07,0.00029497966
L811,1.8019928e-05,8.8997185e-06,1.0032672e-06,4.773494e-05,5.909242e-07,5.63683e-07,2.5495887e-05,1.1995435e-06,2.1553133e-06,0.00016879791
L885,7.4625714e-06,5.771988e-06,8.150586e-06,2.7798582e-05,4.1797757e-06,1.9341242e-06,1.078588e-06,1.799548e-06,1.6029226e-06,4.089554e-06
L886,6.3278712e-06,5.1128445e-06,7.3026167e-06,2.3024972e-05,3.4893164e-06,1.6427366e-06,9.164214e-07,1.5276019e-06,1.3619429e-06,8.495757e-06
L2316,6.033224e-08,8.96689e-08,1.0742224e-07,8.934876e-08,2.9715011e-08,3.585592e-08,8.419738e-08,1.5337719e-08,1.00408215e-08,4.5870547e-07
L2317,2.849265e-08,4.2360625e-08,5.0771632e-08,4.224421e-08,1.405715e-08,1.6952981e-08,3.9784936e-08,7.246854e-09,4.7584763e-09,2.1682354e-07
L2511,7.8231096e-08,1.162698e-07,1.3932004e-07,1.1586235e-07,3.8562575e-08,4.656613e-08,1.0908116e-07,1.990702e-08,1.306762e-08,5.948823e-07
L2638,4.3938926e-06,1.7494312e-07,3.0607916e-06,8.711795e-06,7.658382e-07,1.851964e-06,9.605428e-07,2.8839859e-06,9.4465213e-07,1.30448025e-05
L2648,5.0320523e-08,1.0804797e-08,6.357004e-08,3.2930984e-08,3.5652192e-09,1.0404619e-09,2.8652721e-08,3.5142875e-09,4.297908e-08,
L2650,5.74789e-06,7.0023816e-08,4.481699e-06,5.4570264e-06,1.1690427e-06,2.2896274e-06,1.0400836e-06,3.3273245e-06,9.033829e-08,2.3305212e-05
L2657,1.273831e-06,1.9983418e-07,1.1345837e-06,8.25357e-06,6.383634e-07,4.3493492e-07,1.3344106e-08,3.484456e-07,7.6315337e-07,7.642389e-06
L2662,4.780799e-06,4.704998e-07,2.938119e-06,2.3921457e-06,2.53896e-06,2.3422544e-06,4.1804014e-07,2.7974602e-06,9.787618e-08,
L2663,7.1277755e-06,1.0684598e-06,4.0373707e-06,8.51434e-06,3.2033859e-06,3.380439e-06,5.82193e-07,4.661779e-06,3.9566658e-07,2.5065558e-05
L2665,1.8926046e-05,6.0978346e-07,1.40236225e-05,,,,,,,
L2677,3.1091622e-06,5.059119e-07,2.0697626e-06,5.6885183e-06,3.0942174e-06,1.437511e-06,2.3818575e-07,1.6014383e-06,7.691706e-07,2.3033179e-05
L2678,1.2580567e-06,3.1737727e-07,5.514303e-07,9.900323e-06,1.2150704e-06,4.9582013e-07,2.6203634e-07,4.866015e-07,1.04584615e-07,1.0288146e-05
L2684,6.3578773e-06,1.9454164e-06,3.1757372e-06,0.00010356806,4.0683444e-06,2.7096103e-06,4.7707e-07,3.048037e-06,3.2966127e-06,3.2014796e-06
L2693,3.808309e-06,2.715824e-07,3.0361116e-06,3.1875243e-06,9.624346e-07,2.0353618e-06,5.458278e-07,2.4893961e-06,5.995098e-07,3.9715815e-06
L1156,9.9968165e-05,5.153194e-05,6.5829605e-05,0.0005511418,0.00011147186,9.313226e-07,3.91528e-06,6.277114e-06,3.470853e-05,2.1468848e-05
L1189,4.5256456e-07,2.1071173e-07,2.5331974e-06,4.6629575e-06,9.0681715e-07,1.2692763e-06,3.4383265e-07,1.8438441e-06,5.555566e-05,9.979238e-06
L1226,1.3806857e-06,3.6065467e-07,3.7043355e-07,8.955598e-06,5.8906153e-07,2.2675376e-06,4.9336813e-07,6.0226303e-06,1.1995435e-06,9.054737e-05
L1227,2.748333e-06,6.64033e-07,6.3562766e-07,1.6815029e-05,7.5856224e-07,4.2021275e-06,8.796342e-07,1.2038741e-05,4.2929314e-05,0.00010586949
L1228,1.2957025e-06,2.6985072e-07,1.4135148e-06,7.1099494e-06,2.3748726e-08,1.7301645e-06,3.3224933e-07,5.719019e-06,4.1783554e-05,1.7699553e-05
L1301,1.7736573e-05,4.6865607e-06,1.302216e-05,2.6176072e-05,1.4679128e-05,9.2758855e-06,2.686691e-06,1.0145159e-05,3.304216e-06,5.1718787e-05
L3086,2.0929147e-06,1.5129917e-06,1.037569e-05,,,,,,,
L3117,4.8047514e-07,3.2014214e-08,1.1323573e-07,5.3951226e-07,3.8649887e-08,1.1350494e-09,9.313226e-10,9.662472e-09,8.461939e-09,2.6288762e-07
L313,5.564769e-06,3.866735e-06,6.744871e-06,6.61338e-05,3.1493837e-06,1.1695083e-06,1.1934899e-06,5.7005207e-05,1.4925608e-06,0.00012898236
L559,2.337707e-06,3.1644595e-07,5.2453834e-07,5.857233e-06,1.1517841e-06,7.61298e-07,4.0998566e-07,1.5730504e-05,1.7121783e-07,1.811763e-05
L1406,2.552406e-08,1.3562967e-06,0.00011494753,3.0442607e-08,1.0099029e-08,1.2252713e-08,1.6097329e-07,5.151378e-09,2.1999585e-07,1.4407822e-05
L1423,1.929584e-08,1.0257645e-06,6.5657994e-05,4.2127795e-09,1.4042598e-09,1.6952981e-09,2.2278982e-08,7.1304385e-10,3.0486262e-08,3.495581e-06
L1543,4.611211e-05,0.00010345923,7.076468e-05,6.0563907e-06,2.4091918e-05,3.8505765e-05,4.5205466e-05,6.7352084e-05,6.329175e-05,0.00026285672
L1599,3.6747078e-06,2.4962355e-07,3.0399242e-06,4.377478e-06,3.6880374e-07,6.0131948e-05,4.4019544e-07,1.1307129e-06,8.8941306e-07,9.475771e-06
L1617,1.397857e-06,1.2839446e-06,1.96154e-06,1.4986144e-06,8.2084443e-07,1.0908116e-07,2.2490858e-06,1.6356935e-06,3.0820956e-07,7.262337e-06
L2469,1.9790605e-08,1.0511212e-06,9.6852265e-05,1.9736035e-10,3.8653525e-11,1.02318154e-10,1.0950316e-09,2.8649083e-11,1.6966624e-09,1.16910105e-05
L2472,1.0353688e-08,5.4926204e-07,4.4316308e-05,1.0841177e-09,3.4197e-10,4.3655746e-10,5.7261786e-09,1.5279511e-10,7.552444e-09,3.439199e-05
L2705,5.4388074e-06,3.875757e-07,4.9340015e-06,7.854827e-05,1.7273269e-06,9.393698e-07,1.443841e-07,6.295304e-07,3.6145939e-06,2.4309382e-05
L2898,3.3117598e-05,6.1846804e-06,2.617389e-05,1.48718245e-05,4.2009866e-05,1.690723e-05,4.307367e-06,1.8009916e-05,1.5900005e-06,0.00011798041
L125,1.07236265e-05,8.126983e-06,1.8549326e-06,8.7782595e-05,1.499895e-06,3.7060818e-07,1.0613003e-06,2.3401808e-06,5.548645e-07,8.060597e-06
L186,2.8270297e-06,2.6851892e-05,3.5692938e-06,5.5044424e-05,5.750917e-06,7.1595423e-06,2.5660265e-06,5.816808e-06,1.7222483e-06,2.3306347e-07
L187,2.1010637e-06,2.7464936e-05,4.5527704e-06,6.1995815e-05,6.6959765e-06,7.333234e-06,2.375804e-06,5.4144766e-06,1.3499521e-06,6.3634943e-06
L195,8.777715e-07,2.4338719e-05,5.9299637e-06,7.179356e-05,8.024508e-06,7.590279e-06,2.1164306e-06,4.8677903e-06,8.351635e-07,1.554424e-05
L198,8.968171e-06,1.1719763e-05,1.6627251e-05,,,,,,,
L21,1.7721672e-05,1.3843179e-05,4.635658e-06,3.7596095e-05,6.245449e-06,8.516246e-06,8.181087e-05,5.536247e-06,3.6656857e-06,0.00067829294
L3068,2.4440815e-06,1.2785895e-06,8.243718e-06,1.5501166e-05,3.3735996e-06,,,,,
L6,6.414484e-07,1.9655563e-06,7.906929e-06,4.0842686e-05,4.9320515e-06,9.425683e-06,1.1738623e-05,2.4316832e-06,3.8268045e-06,0.0003737528
L769,1.701573e-05,1.43810175e-05,5.482696e-06,4.3294625e-05,7.187249e-06,8.620555e-06,8.178712e-05,5.8547594e-06,3.287103e-06,0.0005143052
L875,8.8798115e-06,6.6119246e-06,9.23872e-06,3.4049153e-05,5.1580137e-06,2.302113e-06,1.2835953e-06,2.142624e-06,1.9073486e-06,1.4589168e-06
L988,4.913425e-06,4.615402e-06,1.166272e-05,4.8469054e-05,2.6985072e-06,7.796334e-06,1.4435267e-05,2.5385525e-06,3.0137599e-06,0.0002759986
L1198,2.8120354e-05,7.1758404e-07,5.502859e-05,1.9858126e-05,1.7637853e-05,2.7171802e-05,1.6378704e-05,3.0154362e-05,4.7051348e-05,0.0002809097
L2639,2.300585e-06,9.26957e-08,1.6019185e-06,4.563044e-06,4.003814e-07,9.69565e-07,5.03147e-07,1.5109254e-06,4.974281e-07,6.895687e-06
L2649,9.200536e-06,3.1897798e-07,8.213334e-06,1.9383151e-05,1.2182863e-06,3.441819e-06,1.7480925e-06,5.294336e-06,1.5540281e-06,
L2681,8.040806e-06,9.048963e-07,6.7094807e-06,3.942504e-05,2.6397174e-07,3.2645767e-06,7.802737e-07,3.4472905e-06,1.8405844e-06,1.4111807e-05
L3158,1.0896765e-06,1.5289697e-07,1.7721322e-07,2.5017944e-06,2.7159695e-07,3.6336132e-08,4.0468876e-08,9.282667e-08,7.0707756e-08,
L3160,5.667971e-08,3.4822733e-08,5.1455572e-08,3.951718e-07,4.9782102e-08,9.487849e-09,1.1554221e-08,2.4549081e-08,1.9776053e-08,3.666646e-07
L1050,1.2660166e-09,2.401066e-10,2.910383e-10,5.16593e-10,9.458745e-11,1.4551915e-10,2.910383e-11,2.1100277e-10,4.3655746e-11,1.6516424e-09
L1160,1.5043188e-06,1.2842938e-06,7.3877163e-06,1.5070662e-05,2.3709144e-06,3.4996774e-06,1.3043173e-06,5.2375253e-06,6.0427934e-05,3.7594466e-05
L1200,3.098091e-05,6.3469633e-07,6.205356e-05,1.956243e-05,1.8517021e-05,3.0307565e-05,1.7789192e-05,3.7107617e-05,5.5433717e-05,0.00014441693
L1261,4.3655746e-11,2.1827873e-11,2.8376235e-10,5.311449e-10,1.09139364e-10,1.3096724e-10,4.3655746e-11,2.0372681e-10,2.1827873e-11,
L1507,0.00020494033,0.00015505403,2.7304515e-05,0.0003386857,9.747129e-05,0.000121170655,4.0565617e-05,2.4009496e-05,5.229935e-05,0.0007376885
L1559,3.2517826e-05,3.1820964e-06,2.1740096e-05,,,,,,,
L1624,1.7571147e-05,2.7136412e-06,1.1473894e-05,8.313917e-06,2.6932219e-05,2.9663788e-06,2.9478688e-06,8.012634e-06,1.7890707e-06,2.1987944e-05
L2892,0.00019731838,0.00016524084,1.44690275e-05,0.00033341255,9.081233e-05,0.00011672359,4.2016618e-05,1.2570992e-05,4.7366135e-05,0.000727525
L3102,5.233451e-07,2.423185e-07,2.9355288e-06,5.3951517e-06,1.051987e-06,1.4717807e-06,3.9691804e-07,2.1363376e-06,7.7265315e-05,1.0456948e-05
L592,5.4598786e-06,4.260568e-06,2.2503315e-05,5.37117e-06,5.6014396e-06,1.5320256e-07,7.3062256e-07,0.00026622182,2.1797605e-06,0.00056313723
L920,1.2206365e-06,2.489178e-07,7.768831e-07,6.942166e-06,1.3731769e-06,1.7614366e-07,1.2468809e-07,2.2737368e-07,3.3055403e-07,
L927,5.601498e-06,1.0006479e-06,6.978982e-06,5.1790732e-05,8.627132e-06,1.9496074e-06,1.563807e-06,2.6688795e-06,3.492285e-06,
L1368,1.2310222e-05,2.3636036e-05,0.000842066,1.5925616e-07,5.3085387e-08,6.449409e-08,8.2701445e-07,2.7474016e-08,1.3613608e-06,0.000120819546
L1371,6.39027e-06,3.0787895e-05,0.0003837354,1.792796e-07,5.9604645e-08,7.21775e-08,8.5984357e-07,3.0500814e-08,2.47336e-06,7.62688e-05
L1377,1.5731668e-05,2.8229086e-05,0.00067828665,2.370216e-07,7.8231096e-08,9.49949e-08,1.24285e-06,4.0512532e-08,1.9008294e-06,0.00025173626
L1380,3.7983991e-06,3.4573954e-05,0.0006687476,2.74973e-07,9.150244e-08,1.10594556e-07,1.4156103e-06,4.726462e-08,2.4915207e-06,0.00023437431
L1381,2.5895424e-06,6.5360684e-05,0.0010524811,4.5448542e-07,1.5133992e-07,1.8300489e-07,2.275221e-06,7.7765435e-08,4.9648806e-06,0.00031064264
L1382,2.594199e-06,6.82096e-05,0.0010447828,4.8894435e-07,1.6251579e-07,1.9650906e-07,2.4586916e-06,8.428469e-08,5.2191317e-06,0.00048222858
L1387,2.5127083e-06,0.00017001387,0.000907701,4.125759e-07,1.3737008e-07,1.6624108e-07,7.0547685e-07,6.984919e-08,1.5752856e-05,0.00048024347
L1391,1.8016435e-06,0.0005470258,0.0006314812,2.8731301e-07,9.5460564e-08,1.1571683e-07,2.638204e-06,4.9127266e-08,5.8782054e-05,0.00033196923
L1399,1.9645086e-10,3.042951e-07,0.00039267933,3.236346e-08,1.0768417e-08,1.2980308e-08,1.7107232e-07,5.5879354e-09,2.3451867e-07,7.160299e-06
L1402,8.81264e-08,4.6783825e-06,0.00037230575,2.3283064e-09,7.894414e-10,3.7471182e-10,8.8366505e-09,9.858923e-10,1.3795216e-08,6.7432884e-06
L1411,2.5960617e-07,1.3783341e-05,0.00047593855,1.08149834e-07,3.5739504e-08,4.3422915e-08,5.729962e-07,1.839362e-08,7.8452285e-07,1.9145082e-05
L1415,3.1269155e-07,1.6619219e-05,0.0005335014,1.352746e-07,4.4703484e-08,5.424954e-08,7.1595423e-07,2.3050234e-08,9.80217e-07,1.9619009e-05
L1525,1.3159588e-05,9.947363e-05,6.0378574e-05,0.00020693056,1.7100945e-05,6.5041706e-05,2.0558946e-05,3.3593737e-05,3.3480115e-05,0.0005519837
L1526,2.5536865e-05,9.6821226e-05,5.002413e-05,0.00022269413,2.4438836e-05,7.004477e-05,2.1724962e-05,2.549123e-05,3.1881966e-05,0.00042030308
